Date,price
2019-07-10 00:00:00,22.68864
2019-07-10 00:05:00,23.49344
2019-07-10 00:10:00,25.70074
2019-07-10 00:15:00,25.963620000000002
2019-07-10 00:20:00,26.43457
2019-07-10 00:25:00,26.59631
2019-07-10 00:30:00,24.59485
2019-07-10 00:35:00,24.58522
2019-07-10 00:40:00,25.28208
2019-07-10 00:45:00,22.43414
2019-07-10 00:50:00,22.43414
2019-07-10 00:55:00,22.43414
2019-07-10 01:00:00,26.12322
2019-07-10 01:05:00,28.2134
2019-07-10 01:10:00,27.312440000000002
2019-07-10 01:15:00,27.70751
2019-07-10 01:20:00,28.175729999999998
2019-07-10 01:25:00,29.86125
2019-07-10 01:30:00,26.91528
2019-07-10 01:35:00,26.64323
2019-07-10 01:40:00,26.43232
2019-07-10 01:45:00,26.21245
2019-07-10 01:50:00,26.07108
2019-07-10 01:55:00,25.94189
2019-07-10 02:00:00,26.32568
2019-07-10 02:05:00,26.75749
2019-07-10 02:10:00,26.64082
2019-07-10 02:15:00,26.408079999999998
2019-07-10 02:20:00,27.22942
2019-07-10 02:25:00,26.97665
2019-07-10 02:30:00,29.6435
2019-07-10 02:35:00,29.62997
2019-07-10 02:40:00,30.86754
2019-07-10 02:45:00,26.969179999999998
2019-07-10 02:50:00,26.89061
2019-07-10 02:55:00,26.91235
2019-07-10 03:00:00,28.26838
2019-07-10 03:05:00,28.26838
2019-07-10 03:10:00,33.22035
2019-07-10 03:15:00,33.19294
2019-07-10 03:20:00,32.16377
2019-07-10 03:25:00,32.86838
2019-07-10 03:30:00,33.59629
2019-07-10 03:35:00,34.86078
2019-07-10 03:40:00,35.96395
2019-07-10 03:45:00,35.98298
2019-07-10 03:50:00,32.96013
2019-07-10 03:55:00,34.61999
2019-07-10 04:00:00,32.58879
2019-07-10 04:05:00,30.78166
2019-07-10 04:10:00,32.52496
2019-07-10 04:15:00,32.66448
2019-07-10 04:20:00,32.55095
2019-07-10 04:25:00,31.165229999999998
2019-07-10 04:30:00,31.226259999999996
2019-07-10 04:35:00,32.547
2019-07-10 04:40:00,33.04312
2019-07-10 04:45:00,33.04982
2019-07-10 04:50:00,33.06295
2019-07-10 04:55:00,33.04746
2019-07-10 05:00:00,27.61299
2019-07-10 05:05:00,26.75641
2019-07-10 05:10:00,27.38689
2019-07-10 05:15:00,30.78219
2019-07-10 05:20:00,31.23529
2019-07-10 05:25:00,31.202309999999997
2019-07-10 05:30:00,33.21665
2019-07-10 05:35:00,31.20843
2019-07-10 05:40:00,31.13787
2019-07-10 05:45:00,31.308329999999998
2019-07-10 05:50:00,31.13368
2019-07-10 05:55:00,31.13368
2019-07-10 06:00:00,34.17823
2019-07-10 06:05:00,33.5612
2019-07-10 06:10:00,34.17823
2019-07-10 06:15:00,33.49071
2019-07-10 06:20:00,33.49071
2019-07-10 06:25:00,32.46104
2019-07-10 06:30:00,31.47859
2019-07-10 06:35:00,28.76865
2019-07-10 06:40:00,27.77835
2019-07-10 06:45:00,26.74655
2019-07-10 06:50:00,26.39092
2019-07-10 06:55:00,28.75787
2019-07-10 07:00:00,28.9509
2019-07-10 07:05:00,29.58032
2019-07-10 07:10:00,29.04798
2019-07-10 07:15:00,26.71107
2019-07-10 07:20:00,15.38065
2019-07-10 07:25:00,15.699829999999999
2019-07-10 07:30:00,16.13
2019-07-10 07:35:00,16.0988
2019-07-10 07:40:00,15.15864
2019-07-10 07:45:00,14.9952
2019-07-10 07:50:00,15.12833
2019-07-10 07:55:00,15.12833
2019-07-10 08:00:00,15.54742
2019-07-10 08:05:00,13.55497
2019-07-10 08:10:00,13.585
2019-07-10 08:15:00,14.641729999999999
2019-07-10 08:20:00,16.78462
2019-07-10 08:25:00,19.516560000000002
2019-07-10 08:30:00,18.62733
2019-07-10 08:35:00,18.47363
2019-07-10 08:40:00,19.23051
2019-07-10 08:45:00,17.36623
2019-07-10 08:50:00,16.12059
2019-07-10 08:55:00,18.63525
2019-07-10 09:00:00,21.06861
2019-07-10 09:05:00,17.8771
2019-07-10 09:10:00,17.82709
2019-07-10 09:15:00,19.587970000000002
2019-07-10 09:20:00,19.63177
2019-07-10 09:25:00,19.133770000000002
2019-07-10 09:30:00,19.75725
2019-07-10 09:35:00,19.75725
2019-07-10 09:40:00,19.84227
2019-07-10 09:45:00,20.26914
2019-07-10 09:50:00,20.95159
2019-07-10 09:55:00,20.727529999999998
2019-07-10 10:00:00,19.41014
2019-07-10 10:05:00,18.9849
2019-07-10 10:10:00,19.56795
2019-07-10 10:15:00,20.490029999999997
2019-07-10 10:20:00,21.25104
2019-07-10 10:25:00,21.59704
2019-07-10 10:30:00,21.36919
2019-07-10 10:35:00,21.37959
2019-07-10 10:40:00,21.02422
2019-07-10 10:45:00,21.16933
2019-07-10 10:50:00,21.339579999999998
2019-07-10 10:55:00,21.43375
2019-07-10 11:00:00,22.13488
2019-07-10 11:05:00,22.18575
2019-07-10 11:10:00,22.84461
2019-07-10 11:15:00,22.81699
2019-07-10 11:20:00,22.80759
2019-07-10 11:25:00,22.15996
2019-07-10 11:30:00,22.77144
2019-07-10 11:35:00,22.72932
2019-07-10 11:40:00,23.06954
2019-07-10 11:45:00,23.00696
2019-07-10 11:50:00,22.45957
2019-07-10 11:55:00,21.61892
2019-07-10 12:00:00,22.31511
2019-07-10 12:05:00,23.315360000000002
2019-07-10 12:10:00,22.92821
