Date,price,day
2019-07-31 11:20:00,27.46813,31
2019-07-31 11:25:00,24.663529999999998,31
2019-07-31 11:30:00,27.209120000000002,31
2019-07-31 11:35:00,27.48211,31
2019-07-31 11:40:00,27.55423,31
2019-07-31 11:45:00,27.10483,31
2019-07-31 11:50:00,27.358520000000002,31
2019-07-31 11:55:00,29.6477,31
2019-07-31 12:00:00,25.23828,31
2019-07-31 12:05:00,22.306620000000002,31
2019-07-31 12:10:00,23.09497,31
2019-07-31 12:15:00,24.16901,31
2019-07-31 12:20:00,23.121010000000002,31
2019-07-31 12:25:00,26.3969,31
2019-07-31 12:30:00,26.6403,31
2019-07-31 12:35:00,26.70834,31
2019-07-31 12:40:00,26.70834,31
2019-07-31 12:45:00,28.22,31
2019-07-31 12:50:00,30.93504,31
2019-07-31 12:55:00,29.60806,31
2019-07-31 13:00:00,26.11,31
2019-07-31 13:05:00,23.08611,31
2019-07-31 13:10:00,20.408160000000002,31
2019-07-31 13:15:00,21.38,31
2019-07-31 13:20:00,22.34777,31
2019-07-31 13:25:00,24.423,31
2019-07-31 13:30:00,26.1088,31
2019-07-31 13:35:00,25.33824,31
2019-07-31 13:40:00,25.5712,31
2019-07-31 13:45:00,26.57,31
2019-07-31 13:50:00,24.85584,31
2019-07-31 13:55:00,24.1076,31
2019-07-31 14:00:00,21.11254,31
2019-07-31 14:05:00,22.08255,31
2019-07-31 14:10:00,21.135279999999998,31
2019-07-31 14:15:00,23.94916,31
2019-07-31 14:20:00,24.17877,31
2019-07-31 14:25:00,25.16848,31
2019-07-31 14:30:00,25.83819,31
2019-07-31 14:35:00,26.685,31
2019-07-31 14:40:00,27.4086,31
2019-07-31 14:45:00,27.631790000000002,31
2019-07-31 14:50:00,27.631790000000002,31
2019-07-31 14:55:00,27.631790000000002,31
2019-07-31 15:00:00,25.66134,31
2019-07-31 15:05:00,25.66134,31
2019-07-31 15:10:00,27.11235,31
2019-07-31 15:15:00,30.23463,31
2019-07-31 15:20:00,30.355959999999996,31
2019-07-31 15:25:00,30.511229999999998,31
2019-07-31 15:30:00,31.0139,31
2019-07-31 15:35:00,30.5004,31
2019-07-31 15:40:00,30.798479999999998,31
2019-07-31 15:45:00,33.39028,31
2019-07-31 15:50:00,35.25472,31
2019-07-31 15:55:00,37.2386,31
2019-07-31 16:00:00,30.7855,31
2019-07-31 16:05:00,30.7855,31
2019-07-31 16:10:00,30.82221,31
2019-07-31 16:15:00,30.76468,31
2019-07-31 16:20:00,31.60622,31
2019-07-31 16:25:00,32.81282,31
2019-07-31 16:30:00,32.6461,31
2019-07-31 16:35:00,32.50292,31
2019-07-31 16:40:00,32.62874,31
2019-07-31 16:45:00,32.94954,31
2019-07-31 16:50:00,32.8297,31
2019-07-31 16:55:00,30.70305,31
2019-07-31 17:00:00,27.33167,31
2019-07-31 17:05:00,27.23482,31
2019-07-31 17:10:00,27.24449,31
2019-07-31 17:15:00,26.80912,31
2019-07-31 17:20:00,26.576159999999998,31
2019-07-31 17:25:00,26.26232,31
2019-07-31 17:30:00,26.812859999999997,31
2019-07-31 17:35:00,26.95035,31
2019-07-31 17:40:00,28.79683,31
2019-07-31 17:45:00,29.53678,31
2019-07-31 17:50:00,29.50368,31
2019-07-31 17:55:00,29.33539,31
2019-07-31 18:00:00,26.47621,31
2019-07-31 18:05:00,25.26651,31
2019-07-31 18:10:00,27.223979999999997,31
2019-07-31 18:15:00,27.761290000000002,31
2019-07-31 18:20:00,27.91933,31
2019-07-31 18:25:00,29.55434,31
2019-07-31 18:30:00,30.432509999999997,31
2019-07-31 18:35:00,32.53739,31
2019-07-31 18:40:00,33.85842,31
2019-07-31 18:45:00,36.37425,31
2019-07-31 18:50:00,41.81324,31
2019-07-31 18:55:00,43.75304,31
2019-07-31 19:00:00,42.09602,31
2019-07-31 19:05:00,45.35422,31
2019-07-31 19:10:00,47.973209999999995,31
2019-07-31 19:15:00,47.94941,31
2019-07-31 19:20:00,51.14223,31
2019-07-31 19:25:00,53.69749,31
2019-07-31 19:30:00,51.224709999999995,31
2019-07-31 19:35:00,52.126490000000004,31
2019-07-31 19:40:00,52.24639,31
2019-07-31 19:45:00,41.52387,31
2019-07-31 19:50:00,39.03136,31
2019-07-31 19:55:00,37.974270000000004,31
2019-07-31 20:00:00,41.25249,31
2019-07-31 20:05:00,38.74972,31
2019-07-31 20:10:00,37.4712,31
2019-07-31 20:15:00,35.3412,31
2019-07-31 20:20:00,35.9988,31
2019-07-31 20:25:00,34.94661,31
2019-07-31 20:30:00,34.94661,31
2019-07-31 20:35:00,34.94661,31
2019-07-31 20:40:00,34.29,31
2019-07-31 20:45:00,34.29,31
2019-07-31 20:50:00,34.29,31
2019-07-31 20:55:00,34.29,31
2019-07-31 21:00:00,38.65102,31
2019-07-31 21:05:00,40.24677,31
2019-07-31 21:10:00,40.34,31
2019-07-31 21:15:00,37.9612,31
2019-07-31 21:20:00,37.6912,31
2019-07-31 21:25:00,37.5912,31
2019-07-31 21:30:00,37.5312,31
2019-07-31 21:35:00,34.8012,31
2019-07-31 21:40:00,33.1702,31
2019-07-31 21:45:00,32.4188,31
2019-07-31 21:50:00,31.07825,31
2019-07-31 21:55:00,30.8988,31
2019-07-31 22:00:00,32.15248,31
2019-07-31 22:05:00,32.63669,31
2019-07-31 22:10:00,33.68925,31
