"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/30/2013 00:05:00","CAPITL",61757,38.40,2.22,-4.05
"12/30/2013 00:05:00","CENTRL",61754,32.24,-0.38,-0.49
"12/30/2013 00:05:00","DUNWOD",61760,37.53,2.32,-3.08
"12/30/2013 00:05:00","GENESE",61753,31.36,-1.16,-0.38
"12/30/2013 00:05:00","H Q",61844,31.69,-0.45,0.00
"12/30/2013 00:05:00","HUD VL",61758,38.47,3.28,-3.06
"12/30/2013 00:05:00","LONGIL",61762,178.42,3.12,-143.17
"12/30/2013 00:05:00","MHK VL",61756,33.19,0.55,-0.51
"12/30/2013 00:05:00","MILLWD",61759,37.62,2.38,-3.10
"12/30/2013 00:05:00","N.Y.C.",61761,37.50,2.28,-3.08
"12/30/2013 00:05:00","NORTH",61755,31.37,-0.77,0.00
"12/30/2013 00:05:00","NPX",61845,77.61,1.92,-49.77
"12/30/2013 00:05:00","O H",61846,30.14,-2.51,-0.51
"12/30/2013 00:05:00","PJM",61847,30.55,-2.22,-0.63
"12/30/2013 00:05:00","WEST",61752,30.54,-2.09,-0.49
"12/30/2013 00:10:00","CAPITL",61757,46.58,0.99,-30.98
"12/30/2013 00:10:00","CENTRL",61754,18.17,-0.19,-3.75
"12/30/2013 00:10:00","DUNWOD",61760,39.28,1.07,-23.60
"12/30/2013 00:10:00","GENESE",61753,17.02,-0.51,-2.92
"12/30/2013 00:10:00","H Q",61844,14.40,-0.20,0.00
"12/30/2013 00:10:00","HUD VL",61758,39.51,1.50,-23.39
"12/30/2013 00:10:00","LONGIL",61762,39.54,1.32,-23.62
"12/30/2013 00:10:00","MHK VL",61756,18.76,0.25,-3.91
"12/30/2013 00:10:00","MILLWD",61759,39.47,1.10,-23.77
"12/30/2013 00:10:00","N.Y.C.",61761,39.29,1.07,-23.62
"12/30/2013 00:10:00","NORTH",61755,14.29,-0.32,0.00
"12/30/2013 00:10:00","NPX",61845,77.61,1.92,-49.77
"12/30/2013 00:10:00","O H",61846,17.37,-1.14,-3.90
"12/30/2013 00:10:00","PJM",61847,18.38,-1.07,-4.84
"12/30/2013 00:10:00","WEST",61752,17.45,-0.95,-3.79
"12/30/2013 00:15:00","CAPITL",61757,76.01,0.68,-65.00
"12/30/2013 00:15:00","CENTRL",61754,18.13,-0.08,-7.88
"12/30/2013 00:15:00","DUNWOD",61760,60.58,0.75,-49.50
"12/30/2013 00:15:00","GENESE",61753,16.09,-0.35,-6.11
"12/30/2013 00:15:00","H Q",61844,10.16,-0.17,0.00
"12/30/2013 00:15:00","HUD VL",61758,60.51,1.12,-49.06
"12/30/2013 00:15:00","LONGIL",61762,60.80,0.94,-49.54
"12/30/2013 00:15:00","MHK VL",61756,18.87,0.20,-8.35
"12/30/2013 00:15:00","MILLWD",61759,60.96,0.78,-49.85
"12/30/2013 00:15:00","N.Y.C.",61761,60.61,0.75,-49.53
"12/30/2013 00:15:00","NORTH",61755,10.09,-0.24,0.00
"12/30/2013 00:15:00","NPX",61845,77.61,1.92,-49.77
"12/30/2013 00:15:00","O H",61846,17.77,-0.73,-8.18
"12/30/2013 00:15:00","PJM",61847,19.87,-0.60,-10.14
"12/30/2013 00:15:00","WEST",61752,17.66,-0.61,-7.94
"12/30/2013 00:20:00","CAPITL",61757,46.30,0.97,-30.55
"12/30/2013 00:20:00","CENTRL",61754,18.32,-0.16,-3.71
"12/30/2013 00:20:00","DUNWOD",61760,39.13,1.09,-23.26
"12/30/2013 00:20:00","GENESE",61753,17.06,-0.59,-2.87
"12/30/2013 00:20:00","H Q",61844,14.57,-0.21,0.00
"12/30/2013 00:20:00","HUD VL",61758,39.42,1.58,-23.06
"12/30/2013 00:20:00","LONGIL",61762,39.39,1.33,-23.28
"12/30/2013 00:20:00","MHK VL",61756,18.97,0.27,-3.93
"12/30/2013 00:20:00","MILLWD",61759,39.32,1.12,-23.43
"12/30/2013 00:20:00","N.Y.C.",61761,39.16,1.11,-23.28
"12/30/2013 00:20:00","NORTH",61755,14.49,-0.28,0.00
"12/30/2013 00:20:00","NPX",61845,48.93,2.29,-15.63
"12/30/2013 00:20:00","O H",61846,17.42,-1.20,-3.84
"12/30/2013 00:20:00","PJM",61847,18.57,-0.98,-4.77
"12/30/2013 00:20:00","WEST",61752,17.47,-1.03,-3.73
"12/30/2013 00:25:00","CAPITL",61757,38.69,2.14,-4.06
"12/30/2013 00:25:00","CENTRL",61754,32.59,-0.39,-0.49
"12/30/2013 00:25:00","DUNWOD",61760,38.05,2.47,-3.09
"12/30/2013 00:25:00","GENESE",61753,31.48,-1.40,-0.38
"12/30/2013 00:25:00","H Q",61844,32.04,-0.45,0.00
"12/30/2013 00:25:00","HUD VL",61758,39.10,3.54,-3.06
"12/30/2013 00:25:00","LONGIL",61762,38.60,3.02,-3.09
"12/30/2013 00:25:00","MHK VL",61756,33.63,0.62,-0.52
"12/30/2013 00:25:00","MILLWD",61759,38.14,2.54,-3.11
"12/30/2013 00:25:00","N.Y.C.",61761,38.12,2.54,-3.09
"12/30/2013 00:25:00","NORTH",61755,31.97,-0.52,0.00
"12/30/2013 00:25:00","NPX",61845,48.93,2.29,-15.63
"12/30/2013 00:25:00","O H",61846,30.27,-2.73,-0.51
"12/30/2013 00:25:00","PJM",61847,30.98,-2.15,-0.63
"12/30/2013 00:25:00","WEST",61752,30.62,-2.37,-0.50
"12/30/2013 00:30:00","CAPITL",61757,37.90,2.15,-3.19
"12/30/2013 00:30:00","CENTRL",61754,32.56,-0.39,-0.39
"12/30/2013 00:30:00","DUNWOD",61760,37.47,2.47,-2.43
"12/30/2013 00:30:00","GENESE",61753,31.46,-1.40,-0.30
"12/30/2013 00:30:00","H Q",61844,32.11,-0.46,0.00
"12/30/2013 00:30:00","HUD VL",61758,38.52,3.55,-2.41
"12/30/2013 00:30:00","LONGIL",61762,38.06,3.06,-2.43
"12/30/2013 00:30:00","MHK VL",61756,33.59,0.62,-0.41
"12/30/2013 00:30:00","MILLWD",61759,37.55,2.54,-2.45
