"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/13/2012 00:05:00","CAPITL",61757,33.90,2.34,0.00
"12/13/2012 00:05:00","CENTRL",61754,31.95,0.38,0.00
"12/13/2012 00:05:00","DUNWOD",61760,34.85,3.28,0.00
"12/13/2012 00:05:00","GENESE",61753,31.35,-0.22,0.00
"12/13/2012 00:05:00","H Q",61844,31.16,-0.41,0.00
"12/13/2012 00:05:00","HUD VL",61758,34.82,3.25,0.00
"12/13/2012 00:05:00","LONGIL",61762,36.48,4.89,-0.02
"12/13/2012 00:05:00","MHK VL",61756,33.11,1.55,0.00
"12/13/2012 00:05:00","MILLWD",61759,34.88,3.31,0.00
"12/13/2012 00:05:00","N.Y.C.",61761,35.01,3.44,0.00
"12/13/2012 00:05:00","NORTH",61755,31.69,0.13,0.00
"12/13/2012 00:05:00","NPX",61845,34.38,2.81,0.00
"12/13/2012 00:05:00","O H",61846,30.43,-1.14,0.00
"12/13/2012 00:05:00","PJM",61847,32.17,0.60,0.00
"12/13/2012 00:05:00","WEST",61752,31.13,-0.44,0.00
"12/13/2012 00:10:00","CAPITL",61757,37.35,2.51,0.00
"12/13/2012 00:10:00","CENTRL",61754,35.36,0.52,0.00
"12/13/2012 00:10:00","DUNWOD",61760,38.29,3.45,0.00
"12/13/2012 00:10:00","GENESE",61753,34.84,0.00,0.00
"12/13/2012 00:10:00","H Q",61844,34.38,-0.45,0.00
"12/13/2012 00:10:00","HUD VL",61758,38.29,3.45,0.00
"12/13/2012 00:10:00","LONGIL",61762,39.92,5.09,0.00
"12/13/2012 00:10:00","MHK VL",61756,36.54,1.71,0.00
"12/13/2012 00:10:00","MILLWD",61759,38.35,3.52,0.00
"12/13/2012 00:10:00","N.Y.C.",61761,38.49,3.66,0.00
"12/13/2012 00:10:00","NORTH",61755,34.98,0.14,0.00
"12/13/2012 00:10:00","NPX",61845,37.83,3.00,0.00
"12/13/2012 00:10:00","O H",61846,34.00,-0.84,0.00
"12/13/2012 00:10:00","PJM",61847,35.67,0.83,0.00
"12/13/2012 00:10:00","WEST",61752,34.77,-0.07,0.00
"12/13/2012 00:15:00","CAPITL",61757,42.58,2.97,0.00
"12/13/2012 00:15:00","CENTRL",61754,40.24,0.63,0.00
"12/13/2012 00:15:00","DUNWOD",61760,43.65,4.04,0.00
"12/13/2012 00:15:00","GENESE",61753,39.37,-0.24,0.00
"12/13/2012 00:15:00","H Q",61844,39.09,-0.52,0.00
"12/13/2012 00:15:00","HUD VL",61758,43.65,4.04,0.00
"12/13/2012 00:15:00","LONGIL",61762,45.39,5.78,0.00
"12/13/2012 00:15:00","MHK VL",61756,41.54,1.94,0.00
"12/13/2012 00:15:00","MILLWD",61759,43.68,4.08,0.00
"12/13/2012 00:15:00","N.Y.C.",61761,43.96,4.36,0.00
"12/13/2012 00:15:00","NORTH",61755,39.72,0.12,0.00
"12/13/2012 00:15:00","NPX",61845,43.13,3.52,0.00
"12/13/2012 00:15:00","O H",61846,38.42,-1.19,0.00
"12/13/2012 00:15:00","PJM",61847,40.71,1.11,0.00
"12/13/2012 00:15:00","WEST",61752,39.21,-0.40,0.00
"12/13/2012 00:20:00","CAPITL",61757,38.59,2.69,0.00
"12/13/2012 00:20:00","CENTRL",61754,36.54,0.65,0.00
"12/13/2012 00:20:00","DUNWOD",61760,39.49,3.59,0.00
"12/13/2012 00:20:00","GENESE",61753,35.68,-0.21,0.00
"12/13/2012 00:20:00","H Q",61844,35.43,-0.47,0.00
"12/13/2012 00:20:00","HUD VL",61758,39.49,3.59,0.00
"12/13/2012 00:20:00","LONGIL",61762,41.10,5.20,0.00
"12/13/2012 00:20:00","MHK VL",61756,37.69,1.79,0.00
"12/13/2012 00:20:00","MILLWD",61759,39.52,3.62,0.00
"12/13/2012 00:20:00","N.Y.C.",61761,39.74,3.84,0.00
"12/13/2012 00:20:00","NORTH",61755,36.04,0.14,0.00
"12/13/2012 00:20:00","NPX",61845,39.02,3.12,0.00
"12/13/2012 00:20:00","O H",61846,34.96,-0.93,0.00
"12/13/2012 00:20:00","PJM",61847,37.04,1.15,0.00
"12/13/2012 00:20:00","WEST",61752,35.65,-0.25,0.00
"12/13/2012 00:25:00","CAPITL",61757,37.64,2.59,0.00
"12/13/2012 00:25:00","CENTRL",61754,35.68,0.63,0.00
"12/13/2012 00:25:00","DUNWOD",61760,38.45,3.40,0.00
"12/13/2012 00:25:00","GENESE",61753,34.91,-0.14,0.00
"12/13/2012 00:25:00","H Q",61844,34.59,-0.46,0.00
"12/13/2012 00:25:00","HUD VL",61758,38.49,3.44,0.00
"12/13/2012 00:25:00","LONGIL",61762,40.11,5.05,-0.01
"12/13/2012 00:25:00","MHK VL",61756,36.80,1.75,0.00
"12/13/2012 00:25:00","MILLWD",61759,38.52,3.47,0.00
"12/13/2012 00:25:00","N.Y.C.",61761,38.70,3.65,0.00
"12/13/2012 00:25:00","NORTH",61755,35.19,0.14,0.00
"12/13/2012 00:25:00","NPX",61845,38.07,3.01,0.00
"12/13/2012 00:25:00","O H",61846,34.25,-0.80,0.00
"12/13/2012 00:25:00","PJM",61847,36.14,1.09,0.00
"12/13/2012 00:25:00","WEST",61752,34.95,-0.10,0.00
"12/13/2012 00:30:00","CAPITL",61757,37.80,2.60,0.00
"12/13/2012 00:30:00","CENTRL",61754,35.73,0.53,0.00
"12/13/2012 00:30:00","DUNWOD",61760,38.65,3.45,0.00
"12/13/2012 00:30:00","GENESE",61753,34.95,-0.24,0.00
"12/13/2012 00:30:00","H Q",61844,34.78,-0.42,0.00
"12/13/2012 00:30:00","HUD VL",61758,38.65,3.45,0.00
"12/13/2012 00:30:00","LONGIL",61762,40.19,5.00,0.00
"12/13/2012 00:30:00","MHK VL",61756,36.92,1.72,0.00
"12/13/2012 00:30:00","MILLWD",61759,38.72,3.52,0.00
"12/13/2012 00:30:00","N.Y.C.",61761,38.89,3.69,0.00
"12/13/2012 00:30:00","NORTH",61755,35.37,0.18,0.00
"12/13/2012 00:30:00","NPX",61845,38.26,3.06,0.00
"12/13/2012 00:30:00","O H",61846,34.21,-0.99,0.00
"12/13/2012 00:30:00","PJM",61847,36.15,0.95,0.00
"12/13/2012 00:30:00","WEST",61752,34.91,-0.28,0.00
"12/13/2012 00:35:00","CAPITL",61757,38.00,2.65,0.00
"12/13/2012 00:35:00","CENTRL",61754,35.84,0.49,0.00
"12/13/2012 00:35:00","DUNWOD",61760,38.88,3.53,0.00
