"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/20/2014 00:05:00","CAPITL",61757,32.31,2.17,0.00
"12/20/2014 00:05:00","CENTRL",61754,30.41,0.27,0.00
"12/20/2014 00:05:00","DUNWOD",61760,32.91,2.77,0.00
"12/20/2014 00:05:00","GENESE",61753,29.42,-0.72,0.00
"12/20/2014 00:05:00","H Q",61844,29.36,-0.78,0.00
"12/20/2014 00:05:00","HUD VL",61758,32.97,2.83,0.00
"12/20/2014 00:05:00","LONGIL",61762,34.06,3.92,0.00
"12/20/2014 00:05:00","MHK VL",61756,31.19,1.05,0.00
"12/20/2014 00:05:00","MILLWD",61759,33.00,2.86,0.00
"12/20/2014 00:05:00","N.Y.C.",61761,32.91,2.77,0.00
"12/20/2014 00:05:00","NORTH",61755,29.45,-0.69,0.00
"12/20/2014 00:05:00","NPX",61845,91.80,2.53,-59.13
"12/20/2014 00:05:00","O H",61846,28.33,-1.81,0.00
"12/20/2014 00:05:00","PJM",61847,31.16,1.03,0.00
"12/20/2014 00:05:00","WEST",61752,28.90,-1.24,0.00
"12/20/2014 00:10:00","CAPITL",61757,32.11,2.13,0.00
"12/20/2014 00:10:00","CENTRL",61754,30.28,0.30,0.00
"12/20/2014 00:10:00","DUNWOD",61760,32.62,2.64,0.00
"12/20/2014 00:10:00","GENESE",61753,29.38,-0.60,0.00
"12/20/2014 00:10:00","H Q",61844,29.20,-0.78,0.00
"12/20/2014 00:10:00","HUD VL",61758,32.71,2.73,0.00
"12/20/2014 00:10:00","LONGIL",61762,33.67,3.69,0.00
"12/20/2014 00:10:00","MHK VL",61756,31.03,1.05,0.00
"12/20/2014 00:10:00","MILLWD",61759,32.74,2.76,0.00
"12/20/2014 00:10:00","N.Y.C.",61761,32.65,2.67,0.00
"12/20/2014 00:10:00","NORTH",61755,29.32,-0.66,0.00
"12/20/2014 00:10:00","NPX",61845,91.57,2.46,-59.13
"12/20/2014 00:10:00","O H",61846,28.33,-1.65,0.00
"12/20/2014 00:10:00","PJM",61847,30.94,0.96,0.00
"12/20/2014 00:10:00","WEST",61752,28.87,-1.11,0.00
"12/20/2014 00:15:00","CAPITL",61757,31.99,2.12,0.00
"12/20/2014 00:15:00","CENTRL",61754,30.14,0.27,0.00
"12/20/2014 00:15:00","DUNWOD",61760,32.56,2.69,0.00
"12/20/2014 00:15:00","GENESE",61753,29.12,-0.75,0.00
"12/20/2014 00:15:00","H Q",61844,29.12,-0.75,0.00
"12/20/2014 00:15:00","HUD VL",61758,32.65,2.78,0.00
"12/20/2014 00:15:00","LONGIL",61762,33.54,3.67,0.00
"12/20/2014 00:15:00","MHK VL",61756,30.91,1.04,0.00
"12/20/2014 00:15:00","MILLWD",61759,32.65,2.78,0.00
"12/20/2014 00:15:00","N.Y.C.",61761,32.61,2.75,0.00
"12/20/2014 00:15:00","NORTH",61755,29.21,-0.66,0.00
"12/20/2014 00:15:00","NPX",61845,91.45,2.45,-59.13
