"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/17/2000 00:00:00","CAPITL",61757,47.82,3.39,0.00
"12/17/2000 00:00:00","CENTRL",61754,42.83,-1.60,0.00
"12/17/2000 00:00:00","DUNWOD",61760,46.77,2.34,0.00
"12/17/2000 00:00:00","GENESE",61753,43.81,-0.62,0.00
"12/17/2000 00:00:00","H Q",61844,44.70,0.27,0.00
"12/17/2000 00:00:00","HUD VL",61758,45.68,1.25,0.00
"12/17/2000 00:00:00","LONGIL",61762,46.24,1.81,0.00
"12/17/2000 00:00:00","MHK VL",61756,45.24,0.81,0.00
"12/17/2000 00:00:00","MILLWD",61759,46.23,1.80,0.00
"12/17/2000 00:00:00","N.Y.C.",61761,47.85,3.42,0.00
"12/17/2000 00:00:00","NORTH",61755,44.86,0.43,0.00
"12/17/2000 00:00:00","NPX",61845,46.12,1.69,0.00
"12/17/2000 00:00:00","O H",61846,41.72,-2.71,0.00
"12/17/2000 00:00:00","PJM",61847,10.00,-2.64,31.79
"12/17/2000 00:00:00","WEST",61752,41.56,-2.87,0.00
"12/17/2000 00:00:35","CAPITL",61757,46.80,3.06,0.00
"12/17/2000 00:00:35","CENTRL",61754,42.18,-1.56,0.00
"12/17/2000 00:00:35","DUNWOD",61760,46.15,2.41,0.00
"12/17/2000 00:00:35","GENESE",61753,42.99,-0.75,0.00
"12/17/2000 00:00:35","H Q",61844,43.00,0.27,1.01
"12/17/2000 00:00:35","HUD VL",61758,45.07,1.33,0.00
"12/17/2000 00:00:35","LONGIL",61762,45.58,1.84,0.00
"12/17/2000 00:00:35","MHK VL",61756,44.44,0.70,0.00
"12/17/2000 00:00:35","MILLWD",61759,45.62,1.88,0.00
"12/17/2000 00:00:35","N.Y.C.",61761,47.55,3.48,-0.33
"12/17/2000 00:00:35","NORTH",61755,44.15,0.41,0.00
"12/17/2000 00:00:35","NPX",61845,45.24,1.50,0.00
"12/17/2000 00:00:35","O H",61846,39.39,-2.34,2.01
"12/17/2000 00:00:35","PJM",61847,18.00,-2.39,23.35
"12/17/2000 00:00:35","WEST",61752,41.25,-2.49,0.00
"12/17/2000 00:02:05","CAPITL",61757,46.85,3.04,0.00
"12/17/2000 00:02:05","CENTRL",61754,42.22,-1.59,0.00
"12/17/2000 00:02:05","DUNWOD",61760,46.22,2.41,0.00
"12/17/2000 00:02:05","GENESE",61753,43.03,-0.78,0.00
"12/17/2000 00:02:05","H Q",61844,43.00,0.33,1.14
"12/17/2000 00:02:05","HUD VL",61758,45.14,1.33,0.00
"12/17/2000 00:02:05","LONGIL",61762,45.63,1.82,0.00
