"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/18/2010 00:05:00","CAPITL",61757,219.83,-9.49,-366.84
"12/18/2010 00:05:00","CENTRL",61754,-95.30,0.83,-41.40
"12/18/2010 00:05:00","DUNWOD",61760,123.16,-14.03,-274.71
"12/18/2010 00:05:00","GENESE",61753,-100.68,5.36,-31.48
"12/18/2010 00:05:00","H Q",61844,35.00,-0.94,12.41
"12/18/2010 00:05:00","HUD VL",61758,120.91,-13.89,-272.33
"12/18/2010 00:05:00","LONGIL",61762,118.67,-18.70,-274.91
"12/18/2010 00:05:00","MHK VL",61756,-99.36,-4.54,-42.71
"12/18/2010 00:05:00","MILLWD",61759,125.20,-13.75,-276.48
"12/18/2010 00:05:00","N.Y.C.",61761,144.02,-15.40,-296.95
"12/18/2010 00:05:00","NORTH",61755,-141.58,2.48,6.53
"12/18/2010 00:05:00","NPX",61845,73.10,3.60,-21.16
"12/18/2010 00:05:00","O H",61846,44.32,-4.01,0.01
"12/18/2010 00:05:00","PJM",61847,62.44,2.05,-12.05
"12/18/2010 00:05:00","WEST",61752,-87.14,9.08,-41.31
"12/18/2010 00:10:00","CAPITL",61757,29.12,1.83,0.00
"12/18/2010 00:10:00","CENTRL",61754,27.23,-0.05,0.00
"12/18/2010 00:10:00","DUNWOD",61760,29.96,2.67,0.00
"12/18/2010 00:10:00","GENESE",61753,26.50,-0.79,0.00
"12/18/2010 00:10:00","H Q",61844,35.00,-0.94,12.41
"12/18/2010 00:10:00","HUD VL",61758,29.96,2.67,0.00
"12/18/2010 00:10:00","LONGIL",61762,30.83,3.55,0.00
"12/18/2010 00:10:00","MHK VL",61756,28.16,0.87,0.00
"12/18/2010 00:10:00","MILLWD",61759,29.91,2.62,0.00
"12/18/2010 00:10:00","N.Y.C.",61761,50.89,2.95,-20.65
"12/18/2010 00:10:00","NORTH",61755,26.77,-0.52,0.00
"12/18/2010 00:10:00","NPX",61845,73.10,3.60,-21.16
"12/18/2010 00:10:00","O H",61846,44.32,-4.01,0.01
