"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/12/2014 00:05:00","CAPITL",61757,29.93,1.75,0.00
"12/12/2014 00:05:00","CENTRL",61754,28.05,-0.14,0.00
"12/12/2014 00:05:00","DUNWOD",61760,30.69,2.51,0.00
"12/12/2014 00:05:00","GENESE",61753,27.40,-0.79,0.00
"12/12/2014 00:05:00","H Q",61844,27.71,-0.48,0.00
"12/12/2014 00:05:00","HUD VL",61758,30.67,2.48,0.00
"12/12/2014 00:05:00","LONGIL",61762,65.37,3.52,-33.66
"12/12/2014 00:05:00","MHK VL",61756,29.14,0.96,0.00
"12/12/2014 00:05:00","MILLWD",61759,30.72,2.54,0.00
"12/12/2014 00:05:00","N.Y.C.",61761,30.89,2.71,0.00
"12/12/2014 00:05:00","NORTH",61755,28.16,-0.03,0.00
"12/12/2014 00:05:00","NPX",61845,30.24,2.06,0.00
"12/12/2014 00:05:00","O H",61846,26.18,-2.00,0.00
"12/12/2014 00:05:00","PJM",61847,28.69,0.51,0.00
"12/12/2014 00:05:00","WEST",61752,26.55,-1.64,0.00
"12/12/2014 00:10:00","CAPITL",61757,29.38,1.69,0.00
"12/12/2014 00:10:00","CENTRL",61754,27.55,-0.14,0.00
"12/12/2014 00:10:00","DUNWOD",61760,30.13,2.44,0.00
"12/12/2014 00:10:00","GENESE",61753,26.92,-0.78,0.00
"12/12/2014 00:10:00","H Q",61844,27.25,-0.44,0.00
"12/12/2014 00:10:00","HUD VL",61758,30.10,2.41,0.00
"12/12/2014 00:10:00","LONGIL",61762,34.55,3.43,-3.43
"12/12/2014 00:10:00","MHK VL",61756,28.60,0.91,0.00
"12/12/2014 00:10:00","MILLWD",61759,30.16,2.46,0.00
"12/12/2014 00:10:00","N.Y.C.",61761,30.29,2.60,0.00
"12/12/2014 00:10:00","NORTH",61755,27.69,0.00,0.00
"12/12/2014 00:10:00","NPX",61845,29.69,1.99,0.00
"12/12/2014 00:10:00","O H",61846,25.73,-1.97,0.00
"12/12/2014 00:10:00","PJM",61847,28.13,0.44,0.00
"12/12/2014 00:10:00","WEST",61752,26.11,-1.58,0.00
"12/12/2014 00:15:00","CAPITL",61757,29.32,1.66,0.00
"12/12/2014 00:15:00","CENTRL",61754,27.58,-0.08,0.00
"12/12/2014 00:15:00","DUNWOD",61760,30.10,2.43,0.00
"12/12/2014 00:15:00","GENESE",61753,26.83,-0.83,0.00
"12/12/2014 00:15:00","H Q",61844,27.19,-0.47,0.00
"12/12/2014 00:15:00","HUD VL",61758,30.07,2.41,0.00
"12/12/2014 00:15:00","LONGIL",61762,31.09,3.43,0.00
"12/12/2014 00:15:00","MHK VL",61756,28.60,0.94,0.00
"12/12/2014 00:15:00","MILLWD",61759,30.10,2.43,0.00
