Date,price,hub
7/1/2019 3:05:00 AM,18.36558,TH_SP15
7/1/2019 3:05:00 AM,18.53049,TH_ZP26
7/1/2019 3:10:00 AM,19.27639,TH_NP15
7/1/2019 3:10:00 AM,19.11854,TH_SP15
7/1/2019 3:10:00 AM,19.29021,TH_ZP26
7/1/2019 3:15:00 AM,19.32993,TH_NP15
7/1/2019 3:15:00 AM,19.20315,TH_SP15
7/1/2019 3:15:00 AM,19.36756,TH_ZP26
7/1/2019 3:20:00 AM,19.21796,TH_NP15
7/1/2019 3:20:00 AM,19.09192,TH_SP15
7/1/2019 3:20:00 AM,19.25538,TH_ZP26
7/1/2019 3:25:00 AM,19.14132,TH_NP15
7/1/2019 3:25:00 AM,19.01577,TH_SP15
7/1/2019 3:25:00 AM,19.17859,TH_ZP26
7/1/2019 3:30:00 AM,19.21468,TH_NP15
7/1/2019 3:30:00 AM,19.10826,TH_SP15
7/1/2019 3:30:00 AM,19.25016,TH_ZP26
7/1/2019 3:35:00 AM,19.16362,TH_NP15
7/1/2019 3:35:00 AM,19.05748,TH_SP15
7/1/2019 3:35:00 AM,19.19900,TH_ZP26
7/1/2019 3:40:00 AM,19.07492,TH_NP15
7/1/2019 3:40:00 AM,18.96927,TH_SP15
7/1/2019 3:40:00 AM,19.11013,TH_ZP26
7/1/2019 3:45:00 AM,19.05028,TH_NP15
7/1/2019 3:45:00 AM,18.88437,TH_SP15
7/1/2019 3:45:00 AM,19.05809,TH_ZP26
7/1/2019 3:50:00 AM,18.53165,TH_NP15
7/1/2019 3:50:00 AM,18.37025,TH_SP15
7/1/2019 3:50:00 AM,18.53924,TH_ZP26
7/1/2019 3:55:00 AM,17.84260,TH_NP15
7/1/2019 3:55:00 AM,17.68721,TH_SP15
7/1/2019 3:55:00 AM,17.84992,TH_ZP26
7/1/2019 4:00:00 AM,15.38905,TH_NP15
7/1/2019 4:00:00 AM,15.30544,TH_SP15
7/1/2019 4:00:00 AM,15.40168,TH_ZP26
7/1/2019 4:05:00 AM,15.94972,TH_NP15
7/1/2019 4:05:00 AM,15.86305,TH_SP15
7/1/2019 4:05:00 AM,15.96280,TH_ZP26
7/1/2019 4:10:00 AM,18.44457,TH_NP15
7/1/2019 4:10:00 AM,18.34435,TH_SP15
7/1/2019 4:10:00 AM,18.45969,TH_ZP26
7/1/2019 4:15:00 AM,19.01264,TH_NP15
7/1/2019 4:15:00 AM,18.91713,TH_SP15
7/1/2019 4:15:00 AM,19.03603,TH_ZP26
7/1/2019 4:20:00 AM,19.01264,TH_NP15
7/1/2019 4:20:00 AM,18.91713,TH_SP15
7/1/2019 4:20:00 AM,19.03603,TH_ZP26
7/1/2019 4:25:00 AM,18.57816,TH_NP15
7/1/2019 4:25:00 AM,18.48483,TH_SP15
7/1/2019 4:25:00 AM,18.60102,TH_ZP26
7/1/2019 4:30:00 AM,18.75463,TH_NP15
7/1/2019 4:30:00 AM,18.61063,TH_SP15
7/1/2019 4:30:00 AM,18.76231,TH_ZP26
7/1/2019 4:35:00 AM,18.56003,TH_NP15
7/1/2019 4:35:00 AM,18.41753,TH_SP15
7/1/2019 4:35:00 AM,18.56763,TH_ZP26
7/1/2019 4:40:00 AM,18.56730,TH_NP15
7/1/2019 4:40:00 AM,18.42474,TH_SP15
7/1/2019 4:40:00 AM,18.57490,TH_ZP26
7/1/2019 4:45:00 AM,18.87551,TH_NP15
7/1/2019 4:45:00 AM,18.65780,TH_SP15
7/1/2019 4:45:00 AM,18.84083,TH_ZP26
