"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/01/1999 00:14:42","GENESE",61753,29.15,-0.68,0.00
"12/01/1999 00:14:42","H Q",61844,29.60,-0.23,0.00
"12/01/1999 00:14:42","HUD VL",61758,30.56,0.73,0.00
"12/01/1999 00:14:42","LONGIL",61762,31.56,1.73,0.00
"12/01/1999 00:14:42","MHK VL",61756,30.02,0.19,0.00
"12/01/1999 00:14:42","MILLWD",61759,30.55,0.72,0.00
"12/01/1999 00:14:42","N.Y.C.",61761,31.36,1.53,0.00
"12/01/1999 00:14:42","NORTH",61755,29.50,-0.33,0.00
"12/01/1999 00:14:42","NPX",61845,30.43,0.60,0.00
"12/01/1999 00:14:42","O H",61846,29.13,-0.70,0.00
"12/01/1999 00:14:42","PJM",61847,28.87,-0.96,0.00
"12/01/1999 00:14:42","WEST",61752,29.25,-0.58,0.00
"12/01/1999 00:19:42","CAPITL",61757,31.37,1.50,0.00
"12/01/1999 00:19:42","CENTRL",61754,29.34,-0.53,0.00
"12/01/1999 00:19:42","DUNWOD",61760,31.00,1.13,0.00
"12/01/1999 00:19:42","GENESE",61753,29.19,-0.68,0.00
"12/01/1999 00:19:42","H Q",61844,29.63,-0.24,0.00
"12/01/1999 00:19:42","HUD VL",61758,30.61,0.74,0.00
"12/01/1999 00:19:42","LONGIL",61762,31.63,1.76,0.00
"12/01/1999 00:19:42","MHK VL",61756,30.08,0.21,0.00
"12/01/1999 00:19:42","MILLWD",61759,30.58,0.71,0.00
"12/01/1999 00:19:42","N.Y.C.",61761,31.39,1.52,0.00
"12/01/1999 00:19:42","NORTH",61755,29.53,-0.34,0.00
"12/01/1999 00:19:42","NPX",61845,30.47,0.60,0.00
"12/01/1999 00:19:42","O H",61846,29.19,-0.68,0.00
"12/01/1999 00:19:42","PJM",61847,29.01,-0.86,0.00
"12/01/1999 00:19:42","WEST",61752,29.28,-0.59,0.00
"12/01/1999 00:22:12","CAPITL",61757,31.47,1.50,0.00
"12/01/1999 00:22:12","CENTRL",61754,29.43,-0.54,0.00
"12/01/1999 00:22:12","DUNWOD",61760,31.10,1.13,0.00
"12/01/1999 00:22:12","GENESE",61753,29.29,-0.68,0.00
"12/01/1999 00:22:12","H Q",61844,29.73,-0.24,0.00
"12/01/1999 00:22:12","HUD VL",61758,30.70,0.73,0.00
"12/01/1999 00:22:12","LONGIL",61762,31.73,1.76,0.00
"12/01/1999 00:22:12","MHK VL",61756,30.18,0.21,0.00
"12/01/1999 00:22:12","MILLWD",61759,30.67,0.70,0.00
"12/01/1999 00:22:12","N.Y.C.",61761,31.49,1.52,0.00
"12/01/1999 00:22:12","NORTH",61755,29.63,-0.34,0.00
"12/01/1999 00:22:12","NPX",61845,30.56,0.59,0.00
"12/01/1999 00:22:12","O H",61846,29.29,-0.68,0.00
"12/01/1999 00:22:12","PJM",61847,29.10,-0.87,0.00
"12/01/1999 00:22:12","WEST",61752,29.38,-0.59,0.00
"12/01/1999 00:27:12","CAPITL",61757,31.45,1.53,0.00
"12/01/1999 00:27:12","CENTRL",61754,29.38,-0.54,0.00
"12/01/1999 00:27:12","DUNWOD",61760,30.98,1.06,0.00
"12/01/1999 00:27:12","GENESE",61753,29.29,-0.63,0.00
"12/01/1999 00:27:12","H Q",61844,29.70,-0.22,0.00
"12/01/1999 00:27:12","HUD VL",61758,30.60,0.68,0.00
"12/01/1999 00:27:12","LONGIL",61762,31.56,1.64,0.00
"12/01/1999 00:27:12","MHK VL",61756,30.11,0.19,0.00
"12/01/1999 00:27:12","MILLWD",61759,30.56,0.64,0.00
"12/01/1999 00:27:12","N.Y.C.",61761,31.36,1.44,0.00
"12/01/1999 00:27:12","NORTH",61755,29.59,-0.33,0.00
"12/01/1999 00:27:12","NPX",61845,30.53,0.61,0.00
"12/01/1999 00:27:12","O H",61846,29.33,-0.59,0.00
"12/01/1999 00:27:12","PJM",61847,29.05,-0.87,0.00
"12/01/1999 00:27:12","WEST",61752,29.42,-0.50,0.00
"12/01/1999 00:28:42","CAPITL",61757,31.42,1.60,0.00
"12/01/1999 00:28:42","CENTRL",61754,29.25,-0.57,0.00
"12/01/1999 00:28:42","DUNWOD",61760,30.88,1.06,0.00
"12/01/1999 00:28:42","GENESE",61753,29.15,-0.67,0.00
"12/01/1999 00:28:42","H Q",61844,29.64,-0.18,0.00
"12/01/1999 00:28:42","HUD VL",61758,30.50,0.68,0.00
"12/01/1999 00:28:42","LONGIL",61762,31.46,1.64,0.00
"12/01/1999 00:28:42","MHK VL",61756,30.02,0.20,0.00
"12/01/1999 00:28:42","MILLWD",61759,30.46,0.64,0.00
"12/01/1999 00:28:42","N.Y.C.",61761,31.26,1.44,0.00
"12/01/1999 00:28:42","NORTH",61755,29.54,-0.28,0.00
"12/01/1999 00:28:42","NPX",61845,30.49,0.67,0.00
"12/01/1999 00:28:42","O H",61846,29.06,-0.76,0.00
"12/01/1999 00:28:42","PJM",61847,28.90,-0.92,0.00
"12/01/1999 00:28:42","WEST",61752,29.13,-0.69,0.00
"12/01/1999 00:32:42","CAPITL",61757,31.33,1.64,0.00
"12/01/1999 00:32:42","CENTRL",61754,29.12,-0.57,0.00
"12/01/1999 00:32:42","DUNWOD",61760,30.73,1.04,0.00
"12/01/1999 00:32:42","GENESE",61753,29.02,-0.67,0.00
"12/01/1999 00:32:42","H Q",61844,29.49,-0.20,0.00
"12/01/1999 00:32:42","HUD VL",61758,30.36,0.67,0.00
"12/01/1999 00:32:42","LONGIL",61762,31.32,1.63,0.00
"12/01/1999 00:32:42","MHK VL",61756,29.90,0.21,0.00
"12/01/1999 00:32:42","MILLWD",61759,30.32,0.63,0.00
"12/01/1999 00:32:42","N.Y.C.",61761,31.10,1.41,0.00
"12/01/1999 00:32:42","NORTH",61755,29.40,-0.29,0.00
"12/01/1999 00:32:42","NPX",61845,30.40,0.71,0.00
"12/01/1999 00:32:42","O H",61846,28.90,-0.79,0.00
"12/01/1999 00:32:42","PJM",61847,28.73,-0.96,0.00
"12/01/1999 00:32:42","WEST",61752,28.96,-0.73,0.00
"12/01/1999 00:37:42","CAPITL",61757,30.97,1.51,0.00
"12/01/1999 00:37:42","CENTRL",61754,28.92,-0.54,0.00
"12/01/1999 00:37:42","DUNWOD",61760,30.50,1.04,0.00
"12/01/1999 00:37:42","GENESE",61753,28.82,-0.64,0.00
"12/01/1999 00:37:42","H Q",61844,29.28,-0.18,0.00
"12/01/1999 00:37:42","HUD VL",61758,30.12,0.66,0.00
"12/01/1999 00:37:42","LONGIL",61762,31.12,1.66,0.00
"12/01/1999 00:37:42","MHK VL",61756,29.64,0.18,0.00
"12/01/1999 00:37:42","MILLWD",61759,30.09,0.63,0.00
"12/01/1999 00:37:42","N.Y.C.",61761,30.87,1.41,0.00
"12/01/1999 00:37:42","NORTH",61755,29.18,-0.28,0.00
"12/01/1999 00:37:42","NPX",61845,30.05,0.59,0.00
"12/01/1999 00:37:42","O H",61846,28.75,-0.71,0.00
"12/01/1999 00:37:42","PJM",61847,28.52,-0.94,0.00
"12/01/1999 00:37:42","WEST",61752,28.86,-0.60,0.00
"12/01/1999 00:42:42","CAPITL",61757,30.85,1.53,0.00
"12/01/1999 00:42:42","CENTRL",61754,28.77,-0.55,0.00
"12/01/1999 00:42:42","DUNWOD",61760,30.35,1.03,0.00
"12/01/1999 00:42:42","GENESE",61753,28.66,-0.66,0.00
"12/01/1999 00:42:42","H Q",61844,29.13,-0.19,0.00
