"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/10/2012 00:05:00","CAPITL",61757,111.94,-6.12,-202.96
"12/10/2012 00:05:00","CENTRL",61754,-64.88,-1.19,-21.20
"12/10/2012 00:05:00","DUNWOD",61760,49.64,-7.38,-141.92
"12/10/2012 00:05:00","GENESE",61753,-69.17,-0.68,-16.40
"12/10/2012 00:05:00","H Q",61844,18.75,-0.39,7.14
"12/10/2012 00:05:00","HUD VL",61758,50.09,-7.30,-142.29
"12/10/2012 00:05:00","LONGIL",61762,48.30,-8.83,-142.03
"12/10/2012 00:05:00","MHK VL",61756,-72.04,-3.05,-15.91
"12/10/2012 00:05:00","MILLWD",61759,50.92,-7.47,-143.29
"12/10/2012 00:05:00","N.Y.C.",61761,49.22,-7.90,-142.01
"12/10/2012 00:05:00","NORTH",61755,-90.39,0.17,5.66
"12/10/2012 00:05:00","NPX",61845,36.13,2.05,-7.80
"12/10/2012 00:05:00","O H",61846,20.95,-0.08,5.25
"12/10/2012 00:05:00","PJM",61847,25.95,0.76,1.09
"12/10/2012 00:05:00","WEST",61752,-63.36,-0.26,-21.80
"12/10/2012 00:10:00","CAPITL",61757,134.60,-5.24,-214.70
"12/10/2012 00:10:00","CENTRL",61754,-53.84,-1.42,-22.43
"12/10/2012 00:10:00","DUNWOD",61760,69.21,-6.06,-150.13
"12/10/2012 00:10:00","GENESE",61753,-58.92,-1.42,-17.35
"12/10/2012 00:10:00","H Q",61844,18.75,-0.39,7.14
"12/10/2012 00:10:00","HUD VL",61758,69.52,-6.14,-150.52
"12/10/2012 00:10:00","LONGIL",61762,67.90,-7.48,-150.24
"12/10/2012 00:10:00","MHK VL",61756,-60.87,-2.84,-16.83
"12/10/2012 00:10:00","MILLWD",61759,70.51,-6.21,-151.57
"12/10/2012 00:10:00","N.Y.C.",61761,68.86,-6.51,-150.22
"12/10/2012 00:10:00","NORTH",61755,-80.55,0.30,5.99
"12/10/2012 00:10:00","NPX",61845,36.13,2.05,-7.80
"12/10/2012 00:10:00","O H",61846,20.95,-0.08,5.25
"12/10/2012 00:10:00","PJM",61847,25.95,0.76,1.09
"12/10/2012 00:10:00","WEST",61752,-53.37,-1.57,-23.06
"12/10/2012 00:15:00","CAPITL",61757,71.69,-0.17,-74.28
"12/10/2012 00:15:00","CENTRL",61754,5.30,-0.05,-7.77
"12/10/2012 00:15:00","DUNWOD",61760,49.37,-0.20,-51.98
"12/10/2012 00:15:00","GENESE",61753,3.53,-0.05,-6.00
"12/10/2012 00:15:00","H Q",61844,18.75,-0.39,7.14
"12/10/2012 00:15:00","HUD VL",61758,49.50,-0.20,-52.12
"12/10/2012 00:15:00","LONGIL",61762,49.35,-0.25,-52.02
"12/10/2012 00:15:00","MHK VL",61756,3.42,-0.08,-5.92
"12/10/2012 00:15:00","MILLWD",61759,49.86,-0.20,-52.47
"12/10/2012 00:15:00","N.Y.C.",61761,49.38,-0.21,-52.01
"12/10/2012 00:15:00","NORTH",61755,-4.47,0.02,2.07
"12/10/2012 00:15:00","NPX",61845,36.13,2.05,-7.80
"12/10/2012 00:15:00","O H",61846,20.95,-0.08,5.25
"12/10/2012 00:15:00","PJM",61847,25.95,0.76,1.09
"12/10/2012 00:15:00","WEST",61752,5.50,-0.06,-7.97
"12/10/2012 00:20:00","CAPITL",61757,81.28,-0.52,-89.12
"12/10/2012 00:20:00","CENTRL",61754,1.85,-0.15,-9.32
"12/10/2012 00:20:00","DUNWOD",61760,54.45,-0.60,-62.37
"12/10/2012 00:20:00","GENESE",61753,-0.28,-0.16,-7.20
"12/10/2012 00:20:00","H Q",61844,-7.20,0.12,0.00
"12/10/2012 00:20:00","HUD VL",61758,54.61,-0.61,-62.54
"12/10/2012 00:20:00","LONGIL",61762,54.34,-0.75,-62.42
"12/10/2012 00:20:00","MHK VL",61756,-0.47,-0.26,-7.11
"12/10/2012 00:20:00","MILLWD",61759,55.04,-0.61,-62.96
"12/10/2012 00:20:00","N.Y.C.",61761,54.44,-0.64,-62.41
"12/10/2012 00:20:00","NORTH",61755,-9.74,0.07,2.49
"12/10/2012 00:20:00","NPX",61845,35.32,1.94,-8.55
"12/10/2012 00:20:00","O H",61846,25.91,0.00,-1.08
"12/10/2012 00:20:00","PJM",61847,23.90,-0.23,-31.45
"12/10/2012 00:20:00","WEST",61752,2.06,-0.19,-9.57
"12/10/2012 00:25:00","CAPITL",61757,76.68,-0.86,-89.89
