"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/26/2014 00:05:00","CAPITL",61757,15.66,0.94,0.00
"12/26/2014 00:05:00","CENTRL",61754,14.72,0.00,0.00
"12/26/2014 00:05:00","DUNWOD",61760,16.09,1.37,0.00
"12/26/2014 00:05:00","GENESE",61753,14.35,-0.37,0.00
"12/26/2014 00:05:00","H Q",61844,19.40,-0.31,-4.98
"12/26/2014 00:05:00","HUD VL",61758,16.09,1.37,0.00
"12/26/2014 00:05:00","LONGIL",61762,367.41,1.91,-350.77
"12/26/2014 00:05:00","MHK VL",61756,14.99,0.27,0.00
"12/26/2014 00:05:00","MILLWD",61759,16.12,1.40,0.00
"12/26/2014 00:05:00","N.Y.C.",61761,16.17,1.44,0.00
"12/26/2014 00:05:00","NORTH",61755,14.07,-0.65,0.00
"12/26/2014 00:05:00","NPX",61845,15.84,1.12,0.00
"12/26/2014 00:05:00","O H",61846,14.03,-0.69,0.00
"12/26/2014 00:05:00","PJM",61847,20.31,0.60,-4.98
"12/26/2014 00:05:00","WEST",61752,14.16,-0.56,0.00
"12/26/2014 00:10:00","CAPITL",61757,7.41,0.45,0.00
"12/26/2014 00:10:00","CENTRL",61754,7.01,0.04,0.00
"12/26/2014 00:10:00","DUNWOD",61760,7.60,0.64,0.00
"12/26/2014 00:10:00","GENESE",61753,6.82,-0.15,0.00
"12/26/2014 00:10:00","H Q",61844,11.79,-0.16,-4.98
"12/26/2014 00:10:00","HUD VL",61758,7.60,0.64,0.00
"12/26/2014 00:10:00","LONGIL",61762,44.22,0.90,-36.35
"12/26/2014 00:10:00","MHK VL",61756,7.10,0.14,0.00
"12/26/2014 00:10:00","MILLWD",61759,7.63,0.66,0.00
"12/26/2014 00:10:00","N.Y.C.",61761,7.63,0.67,0.00
"12/26/2014 00:10:00","NORTH",61755,6.63,-0.33,0.00
"12/26/2014 00:10:00","NPX",61845,7.49,0.52,0.00
"12/26/2014 00:10:00","O H",61846,6.69,-0.27,0.00
"12/26/2014 00:10:00","PJM",61847,12.27,0.33,-4.98
"12/26/2014 00:10:00","WEST",61752,6.76,-0.20,0.00
"12/26/2014 00:15:00","CAPITL",61757,6.63,0.38,0.00
"12/26/2014 00:15:00","CENTRL",61754,6.31,0.06,0.00
"12/26/2014 00:15:00","DUNWOD",61760,6.81,0.56,0.00
"12/26/2014 00:15:00","GENESE",61753,6.17,-0.08,0.00
"12/26/2014 00:15:00","H Q",61844,11.09,-0.14,-4.98
"12/26/2014 00:15:00","HUD VL",61758,6.81,0.56,0.00
"12/26/2014 00:15:00","LONGIL",61762,7.04,0.79,0.00
"12/26/2014 00:15:00","MHK VL",61756,6.38,0.13,0.00
"12/26/2014 00:15:00","MILLWD",61759,6.82,0.57,0.00
"12/26/2014 00:15:00","N.Y.C.",61761,6.82,0.57,0.00
"12/26/2014 00:15:00","NORTH",61755,5.94,-0.31,0.00
"12/26/2014 00:15:00","NPX",61845,6.70,0.45,0.00
"12/26/2014 00:15:00","O H",61846,6.09,-0.16,0.00
"12/26/2014 00:15:00","PJM",61847,11.54,0.31,-4.98
"12/26/2014 00:15:00","WEST",61752,6.15,-0.10,0.00
"12/26/2014 00:20:00","CAPITL",61757,6.58,0.37,0.00
"12/26/2014 00:20:00","CENTRL",61754,6.27,0.07,0.00
"12/26/2014 00:20:00","DUNWOD",61760,6.76,0.55,0.00
"12/26/2014 00:20:00","GENESE",61753,6.14,-0.06,0.00
"12/26/2014 00:20:00","H Q",61844,6.06,-0.14,0.00
"12/26/2014 00:20:00","HUD VL",61758,6.76,0.55,0.00
