"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/31/2012 00:05:00","CAPITL",61757,156.86,9.56,20.43
"12/31/2012 00:05:00","CENTRL",61754,9.18,-6.54,152.01
"12/31/2012 00:05:00","DUNWOD",61760,155.92,11.91,23.73
"12/31/2012 00:05:00","GENESE",61753,-3.18,-8.55,162.37
"12/31/2012 00:05:00","H Q",61844,167.91,0.17,0.00
"12/31/2012 00:05:00","HUD VL",61758,156.03,12.08,23.79
"12/31/2012 00:05:00","LONGIL",61762,165.67,21.65,23.72
"12/31/2012 00:05:00","MHK VL",61756,108.78,4.02,62.97
"12/31/2012 00:05:00","MILLWD",61759,156.53,12.41,23.62
"12/31/2012 00:05:00","N.Y.C.",61761,156.61,12.59,23.72
"12/31/2012 00:05:00","NORTH",61755,156.04,2.68,14.37
"12/31/2012 00:05:00","NPX",61845,157.74,10.90,20.89
"12/31/2012 00:05:00","O H",61846,-3.15,-19.13,151.76
"12/31/2012 00:05:00","PJM",61847,62.18,-10.40,95.15
"12/31/2012 00:05:00","WEST",61752,-1.33,-16.27,152.80
"12/31/2012 00:08:07","CAPITL",61757,135.42,7.91,11.38
"12/31/2012 00:08:07","CENTRL",61754,48.64,-5.56,84.68
"12/31/2012 00:08:07","DUNWOD",61760,135.53,9.86,13.22
"12/31/2012 00:08:07","GENESE",61753,41.07,-7.37,90.45
"12/31/2012 00:08:07","H Q",61844,139.03,0.14,0.00
"12/31/2012 00:08:07","HUD VL",61758,135.49,9.86,13.25
"12/31/2012 00:08:07","LONGIL",61762,143.60,17.92,13.21
"12/31/2012 00:08:07","MHK VL",61756,107.13,3.33,35.08
"12/31/2012 00:08:07","MILLWD",61759,135.86,10.13,13.16
"12/31/2012 00:08:07","N.Y.C.",61761,135.95,10.28,13.21
"12/31/2012 00:08:07","NORTH",61755,132.97,2.09,8.01
"12/31/2012 00:08:07","NPX",61845,136.27,9.02,11.64
"12/31/2012 00:08:07","O H",61846,38.10,-16.25,84.54
"12/31/2012 00:08:07","PJM",61847,76.71,-9.17,53.01
"12/31/2012 00:08:07","WEST",61752,39.60,-14.17,85.12
"12/31/2012 00:09:37","CAPITL",61757,67.93,1.86,-38.38
"12/31/2012 00:09:37","CENTRL",61754,31.76,-0.55,-4.62
"12/31/2012 00:09:37","DUNWOD",61760,59.08,2.24,-29.14
"12/31/2012 00:09:37","GENESE",61753,30.31,-1.00,-3.61
"12/31/2012 00:09:37","H Q",61844,27.39,-0.30,0.00
"12/31/2012 00:09:37","HUD VL",61758,58.88,2.30,-28.89
"12/31/2012 00:09:37","LONGIL",61762,60.24,3.38,-29.16
"12/31/2012 00:09:37","MHK VL",61756,33.65,0.89,-5.07
"12/31/2012 00:09:37","MILLWD",61759,59.38,2.33,-29.36
"12/31/2012 00:09:37","N.Y.C.",61761,59.24,2.38,-29.16
"12/31/2012 00:09:37","NORTH",61755,27.78,0.08,0.00
"12/31/2012 00:09:37","NPX",61845,64.37,2.10,-34.57
"12/31/2012 00:09:37","O H",61846,30.32,-2.19,-4.81
"12/31/2012 00:09:37","PJM",61847,41.98,-0.55,-14.84
"12/31/2012 00:09:37","WEST",61752,30.66,-1.72,-4.69
"12/31/2012 00:10:00","CAPITL",61757,66.31,2.15,-32.50
"12/31/2012 00:10:00","CENTRL",61754,34.94,-0.63,-3.91
"12/31/2012 00:10:00","DUNWOD",61760,58.95,2.63,-24.67
"12/31/2012 00:10:00","GENESE",61753,33.45,-1.27,-3.06
"12/31/2012 00:10:00","H Q",61844,31.31,-0.35,0.00
"12/31/2012 00:10:00","HUD VL",61758,58.81,2.69,-24.46
"12/31/2012 00:10:00","LONGIL",61762,60.40,4.05,-24.69
"12/31/2012 00:10:00","MHK VL",61756,36.96,1.01,-4.29
"12/31/2012 00:10:00","MILLWD",61759,59.24,2.72,-24.86
"12/31/2012 00:10:00","N.Y.C.",61761,59.13,2.79,-24.69
"12/31/2012 00:10:00","NORTH",61755,31.75,0.10,0.00
"12/31/2012 00:10:00","NPX",61845,63.36,2.44,-29.27
"12/31/2012 00:10:00","O H",61846,33.10,-2.63,-4.07
"12/31/2012 00:10:00","PJM",61847,43.59,-0.63,-12.57
"12/31/2012 00:10:00","WEST",61752,33.50,-2.12,-3.97
"12/31/2012 00:15:00","CAPITL",61757,66.31,2.15,-32.50
"12/31/2012 00:15:00","CENTRL",61754,34.94,-0.63,-3.91
"12/31/2012 00:15:00","DUNWOD",61760,58.95,2.63,-24.67
"12/31/2012 00:15:00","GENESE",61753,33.45,-1.27,-3.06
"12/31/2012 00:15:00","H Q",61844,31.31,-0.35,0.00
"12/31/2012 00:15:00","HUD VL",61758,58.81,2.69,-24.46
"12/31/2012 00:15:00","LONGIL",61762,60.40,4.05,-24.69
"12/31/2012 00:15:00","MHK VL",61756,36.96,1.01,-4.29
"12/31/2012 00:15:00","MILLWD",61759,59.24,2.72,-24.86
"12/31/2012 00:15:00","N.Y.C.",61761,59.13,2.79,-24.69
"12/31/2012 00:15:00","NORTH",61755,31.75,0.10,0.00
"12/31/2012 00:15:00","NPX",61845,63.36,2.44,-29.27
"12/31/2012 00:15:00","O H",61846,33.10,-2.63,-4.07
"12/31/2012 00:15:00","PJM",61847,43.59,-0.63,-12.57
"12/31/2012 00:15:00","WEST",61752,33.50,-2.12,-3.97
"12/31/2012 00:20:00","CAPITL",61757,66.31,2.15,-32.50
"12/31/2012 00:20:00","CENTRL",61754,34.94,-0.63,-3.91
"12/31/2012 00:20:00","DUNWOD",61760,58.95,2.63,-24.67
"12/31/2012 00:20:00","GENESE",61753,33.45,-1.27,-3.06
"12/31/2012 00:20:00","H Q",61844,31.31,-0.35,0.00
"12/31/2012 00:20:00","HUD VL",61758,58.81,2.69,-24.46
"12/31/2012 00:20:00","LONGIL",61762,60.40,4.05,-24.69
"12/31/2012 00:20:00","MHK VL",61756,36.96,1.01,-4.29
"12/31/2012 00:20:00","MILLWD",61759,59.24,2.72,-24.86
"12/31/2012 00:20:00","N.Y.C.",61761,59.13,2.79,-24.69
"12/31/2012 00:20:00","NORTH",61755,31.75,0.10,0.00
"12/31/2012 00:20:00","NPX",61845,63.36,2.44,-29.27
"12/31/2012 00:20:00","O H",61846,33.10,-2.63,-4.07
"12/31/2012 00:20:00","PJM",61847,43.59,-0.63,-12.57
"12/31/2012 00:20:00","WEST",61752,33.50,-2.12,-3.97
"12/31/2012 00:25:00","CAPITL",61757,36.35,2.28,0.00
"12/31/2012 00:25:00","CENTRL",61754,33.63,-0.44,0.00
"12/31/2012 00:25:00","DUNWOD",61760,36.80,2.73,0.00
"12/31/2012 00:25:00","GENESE",61753,32.98,-1.09,0.00
"12/31/2012 00:25:00","H Q",61844,33.66,-0.41,0.00
"12/31/2012 00:25:00","HUD VL",61758,36.87,2.79,0.00
"12/31/2012 00:25:00","LONGIL",61762,38.33,4.26,0.00
"12/31/2012 00:25:00","MHK VL",61756,35.23,1.16,0.00
"12/31/2012 00:25:00","MILLWD",61759,36.90,2.83,0.00
"12/31/2012 00:25:00","N.Y.C.",61761,36.93,2.86,0.00
"12/31/2012 00:25:00","NORTH",61755,34.11,0.03,0.00
"12/31/2012 00:25:00","NPX",61845,36.66,2.59,0.00
"12/31/2012 00:25:00","O H",61846,31.72,-2.35,0.00
"12/31/2012 00:25:00","PJM",61847,33.76,-0.31,0.00
"12/31/2012 00:25:00","WEST",61752,32.34,-1.74,0.00
"12/31/2012 00:30:00","CAPITL",61757,69.92,2.88,-24.67
"12/31/2012 00:30:00","CENTRL",61754,44.61,-0.72,-2.97
"12/31/2012 00:30:00","DUNWOD",61760,64.65,3.56,-18.73
"12/31/2012 00:30:00","GENESE",61753,43.16,-1.52,-2.32
"12/31/2012 00:30:00","H Q",61844,41.85,-0.51,0.00
"12/31/2012 00:30:00","HUD VL",61758,64.53,3.60,-18.57
"12/31/2012 00:30:00","LONGIL",61762,66.53,5.42,-18.75
"12/31/2012 00:30:00","MHK VL",61756,47.02,1.40,-3.26
"12/31/2012 00:30:00","MILLWD",61759,64.88,3.64,-18.87
"12/31/2012 00:30:00","N.Y.C.",61761,64.84,3.73,-18.75
"12/31/2012 00:30:00","NORTH",61755,42.40,0.04,0.00
"12/31/2012 00:30:00","NPX",61845,67.89,3.31,-22.22
"12/31/2012 00:30:00","O H",61846,42.27,-3.18,-3.09
"12/31/2012 00:30:00","PJM",61847,51.35,-0.55,-9.54
"12/31/2012 00:30:00","WEST",61752,42.87,-2.50,-3.01
"12/31/2012 00:35:00","CAPITL",61757,69.96,2.88,-24.73
"12/31/2012 00:35:00","CENTRL",61754,44.61,-0.72,-2.98
"12/31/2012 00:35:00","DUNWOD",61760,64.68,3.56,-18.77
"12/31/2012 00:35:00","GENESE",61753,43.12,-1.57,-2.33
"12/31/2012 00:35:00","H Q",61844,41.89,-0.46,0.00
"12/31/2012 00:35:00","HUD VL",61758,64.56,3.60,-18.61
"12/31/2012 00:35:00","LONGIL",61762,66.56,5.42,-18.79
"12/31/2012 00:35:00","MHK VL",61756,47.02,1.40,-3.27
"12/31/2012 00:35:00","MILLWD",61759,64.95,3.68,-18.91
"12/31/2012 00:35:00","N.Y.C.",61761,64.87,3.73,-18.79
"12/31/2012 00:35:00","NORTH",61755,42.48,0.13,0.00
"12/31/2012 00:35:00","NPX",61845,67.93,3.31,-22.27
"12/31/2012 00:35:00","O H",61846,42.27,-3.18,-3.10
"12/31/2012 00:35:00","PJM",61847,51.36,-0.55,-9.56
"12/31/2012 00:35:00","WEST",61752,42.87,-2.50,-3.02
"12/31/2012 00:40:00","CAPITL",61757,43.32,2.72,0.00
"12/31/2012 00:40:00","CENTRL",61754,40.03,-0.57,0.00
"12/31/2012 00:40:00","DUNWOD",61760,43.93,3.33,0.00
"12/31/2012 00:40:00","GENESE",61753,39.38,-1.22,0.00
"12/31/2012 00:40:00","H Q",61844,40.11,-0.49,0.00
"12/31/2012 00:40:00","HUD VL",61758,43.97,3.37,0.00
"12/31/2012 00:40:00","LONGIL",61762,45.80,5.20,0.00
"12/31/2012 00:40:00","MHK VL",61756,41.98,1.38,0.00
"12/31/2012 00:40:00","MILLWD",61759,44.01,3.41,0.00
"12/31/2012 00:40:00","N.Y.C.",61761,44.05,3.45,0.00
"12/31/2012 00:40:00","NORTH",61755,40.64,0.04,0.00
"12/31/2012 00:40:00","NPX",61845,43.68,3.08,0.00
"12/31/2012 00:40:00","O H",61846,37.96,-2.64,0.00
"12/31/2012 00:40:00","PJM",61847,40.19,-0.41,0.00
"12/31/2012 00:40:00","WEST",61752,38.65,-1.95,0.00
"12/31/2012 00:45:00","CAPITL",61757,43.00,2.70,0.00
"12/31/2012 00:45:00","CENTRL",61754,39.69,-0.60,0.00
"12/31/2012 00:45:00","DUNWOD",61760,43.60,3.30,0.00
"12/31/2012 00:45:00","GENESE",61753,39.09,-1.21,0.00
"12/31/2012 00:45:00","H Q",61844,39.81,-0.48,0.00
"12/31/2012 00:45:00","HUD VL",61758,43.64,3.34,0.00
"12/31/2012 00:45:00","LONGIL",61762,45.45,5.16,0.00
"12/31/2012 00:45:00","MHK VL",61756,41.62,1.33,0.00
"12/31/2012 00:45:00","MILLWD",61759,43.68,3.39,0.00
"12/31/2012 00:45:00","N.Y.C.",61761,43.72,3.42,0.00
"12/31/2012 00:45:00","NORTH",61755,40.38,0.08,0.00
"12/31/2012 00:45:00","NPX",61845,43.36,3.06,0.00
"12/31/2012 00:45:00","O H",61846,37.68,-2.62,0.00
"12/31/2012 00:45:00","PJM",61847,39.85,-0.44,0.00
"12/31/2012 00:45:00","WEST",61752,38.36,-1.93,0.00
"12/31/2012 00:50:00","CAPITL",61757,38.86,2.44,0.00
"12/31/2012 00:50:00","CENTRL",61754,35.84,-0.58,0.00
"12/31/2012 00:50:00","DUNWOD",61760,39.41,2.99,0.00
"12/31/2012 00:50:00","GENESE",61753,35.33,-1.09,0.00
"12/31/2012 00:50:00","H Q",61844,35.99,-0.44,0.00
"12/31/2012 00:50:00","HUD VL",61758,39.44,3.02,0.00
"12/31/2012 00:50:00","LONGIL",61762,41.05,4.63,0.00
"12/31/2012 00:50:00","MHK VL",61756,37.62,1.20,0.00
"12/31/2012 00:50:00","MILLWD",61759,39.48,3.06,0.00
"12/31/2012 00:50:00","N.Y.C.",61761,39.52,3.09,0.00
"12/31/2012 00:50:00","NORTH",61755,36.49,0.07,0.00
"12/31/2012 00:50:00","NPX",61845,39.19,2.77,0.00
"12/31/2012 00:50:00","O H",61846,34.05,-2.37,0.00
"12/31/2012 00:50:00","PJM",61847,35.91,-0.51,0.00
"12/31/2012 00:50:00","WEST",61752,34.67,-1.75,0.00
"12/31/2012 00:55:00","CAPITL",61757,36.01,2.23,0.00
"12/31/2012 00:55:00","CENTRL",61754,33.34,-0.44,0.00
"12/31/2012 00:55:00","DUNWOD",61760,36.45,2.67,0.00
"12/31/2012 00:55:00","GENESE",61753,32.77,-1.01,0.00
"12/31/2012 00:55:00","H Q",61844,33.38,-0.40,0.00
"12/31/2012 00:55:00","HUD VL",61758,36.52,2.74,0.00
"12/31/2012 00:55:00","LONGIL",61762,37.97,4.19,0.00
"12/31/2012 00:55:00","MHK VL",61756,34.93,1.15,0.00
"12/31/2012 00:55:00","MILLWD",61759,36.55,2.77,0.00
"12/31/2012 00:55:00","N.Y.C.",61761,36.59,2.80,0.00
"12/31/2012 00:55:00","NORTH",61755,33.82,0.03,0.00
"12/31/2012 00:55:00","NPX",61845,36.32,2.54,0.00
"12/31/2012 00:55:00","O H",61846,31.66,-2.13,0.00
"12/31/2012 00:55:00","PJM",61847,33.41,-0.37,0.00
"12/31/2012 00:55:00","WEST",61752,32.23,-1.55,0.00
"12/31/2012 01:00:00","CAPITL",61757,36.09,2.27,0.00
"12/31/2012 01:00:00","CENTRL",61754,33.24,-0.58,0.00
"12/31/2012 01:00:00","DUNWOD",61760,36.62,2.81,0.00
"12/31/2012 01:00:00","GENESE",61753,32.67,-1.15,0.00
"12/31/2012 01:00:00","H Q",61844,33.42,-0.40,0.00
"12/31/2012 01:00:00","HUD VL",61758,36.62,2.81,0.00
"12/31/2012 01:00:00","LONGIL",61762,38.08,4.26,0.00
"12/31/2012 01:00:00","MHK VL",61756,34.93,1.11,0.00
"12/31/2012 01:00:00","MILLWD",61759,36.69,2.87,0.00
"12/31/2012 01:00:00","N.Y.C.",61761,36.76,2.94,0.00
"12/31/2012 01:00:00","NORTH",61755,33.85,0.03,0.00
"12/31/2012 01:00:00","NPX",61845,36.46,2.64,0.00
"12/31/2012 01:00:00","O H",61846,31.42,-2.40,0.00
"12/31/2012 01:00:00","PJM",61847,33.24,-0.58,0.00
"12/31/2012 01:00:00","WEST",61752,31.96,-1.86,0.00
"12/31/2012 01:05:00","CAPITL",61757,36.10,2.30,0.00
"12/31/2012 01:05:00","CENTRL",61754,33.22,-0.57,0.00
"12/31/2012 01:05:00","DUNWOD",61760,36.57,2.77,0.00
"12/31/2012 01:05:00","GENESE",61753,32.65,-1.15,0.00
"12/31/2012 01:05:00","H Q",61844,33.39,-0.40,0.00
"12/31/2012 01:05:00","HUD VL",61758,36.60,2.80,0.00
"12/31/2012 01:05:00","LONGIL",61762,38.02,4.22,0.00
"12/31/2012 01:05:00","MHK VL",61756,34.91,1.11,0.00
"12/31/2012 01:05:00","MILLWD",61759,36.67,2.87,0.00
"12/31/2012 01:05:00","N.Y.C.",61761,36.74,2.94,0.00
"12/31/2012 01:05:00","NORTH",61755,33.83,0.03,0.00
"12/31/2012 01:05:00","NPX",61845,36.44,2.64,0.00
"12/31/2012 01:05:00","O H",61846,31.37,-2.43,0.00
"12/31/2012 01:05:00","PJM",61847,33.19,-0.61,0.00
"12/31/2012 01:05:00","WEST",61752,31.91,-1.89,0.00
"12/31/2012 01:10:00","CAPITL",61757,35.53,2.26,0.00
"12/31/2012 01:10:00","CENTRL",61754,32.67,-0.60,0.00
