"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/07/1999 00:00:00","CAPITL",61757,9.56,0.30,0.00
"12/07/1999 00:00:00","CENTRL",61754,9.12,-0.14,0.00
"12/07/1999 00:00:00","DUNWOD",61760,9.81,0.55,0.00
"12/07/1999 00:00:00","GENESE",61753,9.03,-0.23,0.00
"12/07/1999 00:00:00","H Q",61844,9.18,-0.08,0.00
"12/07/1999 00:00:00","HUD VL",61758,9.71,0.45,0.00
"12/07/1999 00:00:00","LONGIL",61762,26.61,0.80,-16.55
"12/07/1999 00:00:00","MHK VL",61756,9.34,0.08,0.00
"12/07/1999 00:00:00","MILLWD",61759,9.68,0.42,0.00
"12/07/1999 00:00:00","N.Y.C.",61761,9.93,0.67,0.00
"12/07/1999 00:00:00","NORTH",61755,9.15,-0.11,0.00
"12/07/1999 00:00:00","NPX",61845,9.45,0.19,0.00
"12/07/1999 00:00:00","O H",61846,8.95,-0.31,0.00
"12/07/1999 00:00:00","PJM",61847,9.03,-0.23,0.00
"12/07/1999 00:00:00","WEST",61752,9.02,-0.24,0.00
"12/07/1999 00:00:51","CAPITL",61757,11.98,0.50,0.00
"12/07/1999 00:00:51","CENTRL",61754,11.28,-0.20,0.00
"12/07/1999 00:00:51","DUNWOD",61760,12.10,0.62,0.00
"12/07/1999 00:00:51","GENESE",61753,11.22,-0.26,0.00
"12/07/1999 00:00:51","H Q",61844,11.38,-0.10,0.00
"12/07/1999 00:00:51","HUD VL",61758,11.99,0.51,0.00
"12/07/1999 00:00:51","LONGIL",61762,12.41,0.93,0.00
"12/07/1999 00:00:51","MHK VL",61756,11.59,0.11,0.00
"12/07/1999 00:00:51","MILLWD",61759,11.94,0.46,0.00
"12/07/1999 00:00:51","N.Y.C.",61761,12.24,0.76,0.00
"12/07/1999 00:00:51","NORTH",61755,11.34,-0.14,0.00
"12/07/1999 00:00:51","NPX",61845,11.80,0.32,0.00
"12/07/1999 00:00:51","O H",61846,11.04,-0.44,0.00
"12/07/1999 00:00:51","PJM",61847,11.11,-0.37,0.00
"12/07/1999 00:00:51","WEST",61752,11.11,-0.37,0.00
"12/07/1999 00:01:51","CAPITL",61757,10.99,0.46,0.00
"12/07/1999 00:01:51","CENTRL",61754,10.35,-0.18,0.00
"12/07/1999 00:01:51","DUNWOD",61760,11.09,0.56,0.00
"12/07/1999 00:01:51","GENESE",61753,10.30,-0.23,0.00
"12/07/1999 00:01:51","H Q",61844,10.44,-0.09,0.00
"12/07/1999 00:01:51","HUD VL",61758,10.99,0.46,0.00
"12/07/1999 00:01:51","LONGIL",61762,11.37,0.84,0.00
"12/07/1999 00:01:51","MHK VL",61756,10.63,0.10,0.00
"12/07/1999 00:01:51","MILLWD",61759,10.94,0.41,0.00
"12/07/1999 00:01:51","N.Y.C.",61761,11.22,0.69,0.00
"12/07/1999 00:01:51","NORTH",61755,10.40,-0.13,0.00
"12/07/1999 00:01:51","NPX",61845,10.82,0.29,0.00
"12/07/1999 00:01:51","O H",61846,10.14,-0.39,0.00
"12/07/1999 00:01:51","PJM",61847,10.20,-0.33,0.00
"12/07/1999 00:01:51","WEST",61752,10.21,-0.32,0.00
"12/07/1999 00:06:51","CAPITL",61757,10.90,0.43,0.00
"12/07/1999 00:06:51","CENTRL",61754,10.29,-0.18,0.00
"12/07/1999 00:06:51","DUNWOD",61760,11.03,0.56,0.00
"12/07/1999 00:06:51","GENESE",61753,10.22,-0.25,0.00
"12/07/1999 00:06:51","H Q",61844,10.39,-0.08,0.00
"12/07/1999 00:06:51","HUD VL",61758,10.93,0.46,0.00
"12/07/1999 00:06:51","LONGIL",61762,11.32,0.85,0.00
"12/07/1999 00:06:51","MHK VL",61756,10.57,0.10,0.00
"12/07/1999 00:06:51","MILLWD",61759,10.89,0.42,0.00
"12/07/1999 00:06:51","N.Y.C.",61761,11.16,0.69,0.00
"12/07/1999 00:06:51","NORTH",61755,10.35,-0.12,0.00
"12/07/1999 00:06:51","NPX",61845,10.74,0.27,0.00
"12/07/1999 00:06:51","O H",61846,10.09,-0.38,0.00
"12/07/1999 00:06:51","PJM",61847,10.16,-0.31,0.00
"12/07/1999 00:06:51","WEST",61752,10.15,-0.32,0.00
"12/07/1999 00:11:51","CAPITL",61757,10.94,0.41,0.00
"12/07/1999 00:11:51","CENTRL",61754,10.35,-0.18,0.00
"12/07/1999 00:11:51","DUNWOD",61760,11.11,0.58,0.00
"12/07/1999 00:11:51","GENESE",61753,10.28,-0.25,0.00
"12/07/1999 00:11:51","H Q",61844,10.44,-0.09,0.00
"12/07/1999 00:11:51","HUD VL",61758,11.01,0.48,0.00
"12/07/1999 00:11:51","LONGIL",61762,11.40,0.87,0.00
"12/07/1999 00:11:51","MHK VL",61756,10.62,0.09,0.00
"12/07/1999 00:11:51","MILLWD",61759,10.96,0.43,0.00
"12/07/1999 00:11:51","N.Y.C.",61761,11.24,0.71,0.00
"12/07/1999 00:11:51","NORTH",61755,10.40,-0.13,0.00
"12/07/1999 00:11:51","NPX",61845,10.79,0.26,0.00
"12/07/1999 00:11:51","O H",61846,10.14,-0.39,0.00
"12/07/1999 00:11:51","PJM",61847,10.23,-0.30,0.00
"12/07/1999 00:11:51","WEST",61752,10.22,-0.31,0.00
"12/07/1999 00:14:21","CAPITL",61757,10.94,0.39,0.00
"12/07/1999 00:14:21","CENTRL",61754,10.38,-0.17,0.00
"12/07/1999 00:14:21","DUNWOD",61760,11.14,0.59,0.00
"12/07/1999 00:14:21","GENESE",61753,10.28,-0.27,0.00
"12/07/1999 00:14:21","H Q",61844,10.45,-0.10,0.00
"12/07/1999 00:14:21","HUD VL",61758,11.03,0.48,0.00
"12/07/1999 00:14:21","LONGIL",61762,11.42,0.87,0.00
"12/07/1999 00:14:21","MHK VL",61756,10.65,0.10,0.00
"12/07/1999 00:14:21","MILLWD",61759,10.98,0.43,0.00
"12/07/1999 00:14:21","N.Y.C.",61761,11.27,0.72,0.00
