"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/08/2015 00:05:00","CAPITL",61757,26.18,1.94,0.00
"12/08/2015 00:05:00","CENTRL",61754,24.92,0.68,0.00
"12/08/2015 00:05:00","DUNWOD",61760,27.05,2.81,0.00
"12/08/2015 00:05:00","GENESE",61753,24.48,0.24,0.00
"12/08/2015 00:05:00","H Q",61844,23.66,-0.58,0.00
"12/08/2015 00:05:00","HUD VL",61758,26.93,2.69,0.00
"12/08/2015 00:05:00","LONGIL",61762,27.70,3.47,0.00
"12/08/2015 00:05:00","MHK VL",61756,25.23,0.99,0.00
"12/08/2015 00:05:00","MILLWD",61759,27.10,2.86,0.00
"12/08/2015 00:05:00","N.Y.C.",61761,27.02,2.79,0.00
"12/08/2015 00:05:00","NORTH",61755,23.70,-0.53,0.00
"12/08/2015 00:05:00","NPX",61845,25.91,1.67,0.00
"12/08/2015 00:05:00","O H",61846,24.17,-0.07,0.00
"12/08/2015 00:05:00","PJM",61847,26.08,1.84,0.00
"12/08/2015 00:05:00","WEST",61752,24.65,0.41,0.00
"12/08/2015 00:10:00","CAPITL",61757,24.17,1.77,0.00
"12/08/2015 00:10:00","CENTRL",61754,23.05,0.65,0.00
"12/08/2015 00:10:00","DUNWOD",61760,24.98,2.58,0.00
"12/08/2015 00:10:00","GENESE",61753,22.63,0.22,0.00
"12/08/2015 00:10:00","H Q",61844,21.86,-0.54,0.00
"12/08/2015 00:10:00","HUD VL",61758,24.87,2.46,0.00
"12/08/2015 00:10:00","LONGIL",61762,25.50,3.09,0.00
"12/08/2015 00:10:00","MHK VL",61756,23.32,0.92,0.00
"12/08/2015 00:10:00","MILLWD",61759,25.00,2.60,0.00
"12/08/2015 00:10:00","N.Y.C.",61761,25.00,2.60,0.00
"12/08/2015 00:10:00","NORTH",61755,21.91,-0.49,0.00
"12/08/2015 00:10:00","NPX",61845,23.95,1.54,0.00
"12/08/2015 00:10:00","O H",61846,22.36,-0.04,0.00
"12/08/2015 00:10:00","PJM",61847,24.13,1.73,0.00
"12/08/2015 00:10:00","WEST",61752,22.81,0.40,0.00
"12/08/2015 00:15:00","CAPITL",61757,23.25,1.72,0.00
"12/08/2015 00:15:00","CENTRL",61754,22.06,0.54,0.00
"12/08/2015 00:15:00","DUNWOD",61760,24.00,2.47,0.00
"12/08/2015 00:15:00","GENESE",61753,21.66,0.13,0.00
"12/08/2015 00:15:00","H Q",61844,21.05,-0.47,0.00
"12/08/2015 00:15:00","HUD VL",61758,23.89,2.37,0.00
