"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/06/2016 00:05:00","CAPITL",61757,32.70,2.22,0.00
"12/06/2016 00:05:00","CENTRL",61754,30.75,0.27,0.00
"12/06/2016 00:05:00","DUNWOD",61760,32.88,2.41,0.00
"12/06/2016 00:05:00","GENESE",61753,30.47,0.00,0.00
"12/06/2016 00:05:00","H Q",61844,29.47,-1.00,0.00
"12/06/2016 00:05:00","HUD VL",61758,32.88,2.41,0.00
"12/06/2016 00:05:00","LONGIL",61762,33.85,3.38,0.00
"12/06/2016 00:05:00","MHK VL",61756,30.99,0.52,0.00
"12/06/2016 00:05:00","MILLWD",61759,32.94,2.47,0.00
"12/06/2016 00:05:00","N.Y.C.",61761,32.94,2.47,0.00
"12/06/2016 00:05:00","NORTH",61755,29.68,-0.79,0.00
"12/06/2016 00:05:00","NPX",61845,32.85,2.38,0.00
"12/06/2016 00:05:00","O H",61846,29.50,-0.98,0.00
"12/06/2016 00:05:00","PJM",61847,30.87,0.40,0.00
"12/06/2016 00:05:00","WEST",61752,30.20,-0.27,0.00
"12/06/2016 00:10:00","CAPITL",61757,36.58,2.49,0.00
"12/06/2016 00:10:00","CENTRL",61754,34.40,0.31,0.00
"12/06/2016 00:10:00","DUNWOD",61760,36.68,2.59,0.00
"12/06/2016 00:10:00","GENESE",61753,34.09,0.00,0.00
"12/06/2016 00:10:00","H Q",61844,32.97,-1.12,0.00
"12/06/2016 00:10:00","HUD VL",61758,36.68,2.59,0.00
"12/06/2016 00:10:00","LONGIL",61762,37.64,3.55,0.00
"12/06/2016 00:10:00","MHK VL",61756,34.71,0.61,0.00
"12/06/2016 00:10:00","MILLWD",61759,36.75,2.66,0.00
"12/06/2016 00:10:00","N.Y.C.",61761,36.78,2.69,0.00
"12/06/2016 00:10:00","NORTH",61755,33.17,-0.92,0.00
"12/06/2016 00:10:00","NPX",61845,36.72,2.63,0.00
"12/06/2016 00:10:00","O H",61846,33.04,-1.06,0.00
"12/06/2016 00:10:00","PJM",61847,34.53,0.44,0.00
"12/06/2016 00:10:00","WEST",61752,33.82,-0.27,0.00
"12/06/2016 00:15:00","CAPITL",61757,46.06,3.10,0.00
"12/06/2016 00:15:00","CENTRL",61754,43.40,0.43,0.00
"12/06/2016 00:15:00","DUNWOD",61760,46.06,3.10,0.00
"12/06/2016 00:15:00","GENESE",61753,42.79,-0.17,0.00
"12/06/2016 00:15:00","H Q",61844,41.59,-1.38,0.00
"12/06/2016 00:15:00","HUD VL",61758,46.10,3.13,0.00
"12/06/2016 00:15:00","LONGIL",61762,47.18,4.21,0.00
"12/06/2016 00:15:00","MHK VL",61756,43.74,0.77,0.00
"12/06/2016 00:15:00","MILLWD",61759,46.15,3.18,0.00
"12/06/2016 00:15:00","N.Y.C.",61761,46.10,3.13,0.00
"12/06/2016 00:15:00","NORTH",61755,41.85,-1.12,0.00
"12/06/2016 00:15:00","NPX",61845,46.19,3.22,0.00
"12/06/2016 00:15:00","O H",61846,41.42,-1.54,0.00
"12/06/2016 00:15:00","PJM",61847,43.52,0.56,0.00
"12/06/2016 00:15:00","WEST",61752,42.28,-0.69,0.00
"12/06/2016 00:20:00","CAPITL",61757,45.92,3.12,0.00
"12/06/2016 00:20:00","CENTRL",61754,43.10,0.30,0.00
"12/06/2016 00:20:00","DUNWOD",61760,45.97,3.17,0.00
"12/06/2016 00:20:00","GENESE",61753,42.41,-0.39,0.00
"12/06/2016 00:20:00","H Q",61844,41.47,-1.33,0.00
"12/06/2016 00:20:00","HUD VL",61758,46.01,3.21,0.00
"12/06/2016 00:20:00","LONGIL",61762,47.04,4.24,0.00
"12/06/2016 00:20:00","MHK VL",61756,43.57,0.77,0.00
"12/06/2016 00:20:00","MILLWD",61759,46.05,3.25,0.00
"12/06/2016 00:20:00","N.Y.C.",61761,46.01,3.21,0.00
"12/06/2016 00:20:00","NORTH",61755,41.69,-1.11,0.00
