"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/08/2013 00:05:00","CAPITL",61757,32.22,1.99,0.00
"12/08/2013 00:05:00","CENTRL",61754,30.19,-0.03,0.00
"12/08/2013 00:05:00","DUNWOD",61760,32.79,2.57,0.00
"12/08/2013 00:05:00","GENESE",61753,29.10,-1.12,0.00
"12/08/2013 00:05:00","H Q",61844,32.10,-0.94,11.41
"12/08/2013 00:05:00","HUD VL",61758,33.15,2.93,0.00
"12/08/2013 00:05:00","LONGIL",61762,33.15,2.93,0.00
"12/08/2013 00:05:00","MHK VL",61756,30.89,0.66,0.00
"12/08/2013 00:05:00","MILLWD",61759,32.85,2.63,0.00
"12/08/2013 00:05:00","N.Y.C.",61761,33.03,2.81,0.00
"12/08/2013 00:05:00","NORTH",61755,29.41,-0.81,0.00
"12/08/2013 00:05:00","NPX",61845,68.66,2.81,-26.28
"12/08/2013 00:05:00","O H",61846,12.57,-2.33,24.67
"12/08/2013 00:05:00","PJM",61847,32.95,-0.09,11.41
"12/08/2013 00:05:00","WEST",61752,28.29,-1.93,0.00
"12/08/2013 00:10:00","CAPITL",61757,47.93,3.09,0.00
"12/08/2013 00:10:00","CENTRL",61754,44.70,-0.13,0.00
"12/08/2013 00:10:00","DUNWOD",61760,48.79,3.95,0.00
"12/08/2013 00:10:00","GENESE",61753,43.09,-1.75,0.00
"12/08/2013 00:10:00","H Q",61844,32.10,-0.94,11.41
"12/08/2013 00:10:00","HUD VL",61758,49.28,4.44,0.00
"12/08/2013 00:10:00","LONGIL",61762,49.37,4.53,-0.01
"12/08/2013 00:10:00","MHK VL",61756,45.82,0.99,0.00
"12/08/2013 00:10:00","MILLWD",61759,48.88,4.04,0.00
"12/08/2013 00:10:00","N.Y.C.",61761,49.10,4.26,0.00
"12/08/2013 00:10:00","NORTH",61755,43.58,-1.26,0.00
"12/08/2013 00:10:00","NPX",61845,68.66,2.81,-26.28
"12/08/2013 00:10:00","O H",61846,12.57,-2.33,24.67
"12/08/2013 00:10:00","PJM",61847,32.95,-0.09,11.41
"12/08/2013 00:10:00","WEST",61752,41.88,-2.96,0.00
"12/08/2013 00:15:00","CAPITL",61757,47.40,3.10,0.00
"12/08/2013 00:15:00","CENTRL",61754,44.12,-0.18,0.00
"12/08/2013 00:15:00","DUNWOD",61760,48.19,3.90,0.00
"12/08/2013 00:15:00","GENESE",61753,42.44,-1.86,0.00
"12/08/2013 00:15:00","H Q",61844,32.10,-0.94,11.41
"12/08/2013 00:15:00","HUD VL",61758,48.82,4.52,0.00
"12/08/2013 00:15:00","LONGIL",61762,48.68,4.39,0.00
"12/08/2013 00:15:00","MHK VL",61756,45.32,1.02,0.00
"12/08/2013 00:15:00","MILLWD",61759,48.28,3.99,0.00
"12/08/2013 00:15:00","N.Y.C.",61761,48.46,4.16,0.00
"12/08/2013 00:15:00","NORTH",61755,43.10,-1.19,0.00
"12/08/2013 00:15:00","NPX",61845,68.66,2.81,-26.28
"12/08/2013 00:15:00","O H",61846,12.57,-2.33,24.67
