"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/14/2009 00:05:00","CAPITL",61757,62.17,2.45,0.00
"12/14/2009 00:05:00","CENTRL",61754,58.64,-1.07,0.00
"12/14/2009 00:05:00","DUNWOD",61760,63.00,3.28,0.00
"12/14/2009 00:05:00","GENESE",61753,57.75,-1.97,0.00
"12/14/2009 00:05:00","H Q",61844,59.72,0.00,0.00
"12/14/2009 00:05:00","HUD VL",61758,62.76,3.05,0.00
"12/14/2009 00:05:00","LONGIL",61762,64.14,4.42,0.00
"12/14/2009 00:05:00","MHK VL",61756,61.03,1.31,0.00
"12/14/2009 00:05:00","MILLWD",61759,62.88,3.17,0.00
"12/14/2009 00:05:00","N.Y.C.",61761,63.12,3.40,0.00
"12/14/2009 00:05:00","NORTH",61755,60.37,0.66,0.00
"12/14/2009 00:05:00","NPX",61845,62.35,2.63,0.00
"12/14/2009 00:05:00","O H",61846,55.00,-4.72,0.00
"12/14/2009 00:05:00","PJM",61847,55.18,-4.54,0.00
"12/14/2009 00:05:00","WEST",61752,55.72,-4.00,0.00
"12/14/2009 00:10:00","CAPITL",61757,53.83,2.12,0.00
"12/14/2009 00:10:00","CENTRL",61754,50.83,-0.88,0.00
"12/14/2009 00:10:00","DUNWOD",61760,54.55,2.84,0.00
"12/14/2009 00:10:00","GENESE",61753,50.10,-1.60,0.00
"12/14/2009 00:10:00","H Q",61844,51.65,-0.05,0.00
"12/14/2009 00:10:00","HUD VL",61758,54.34,2.64,0.00
"12/14/2009 00:10:00","LONGIL",61762,55.48,3.77,0.00
"12/14/2009 00:10:00","MHK VL",61756,52.84,1.14,0.00
"12/14/2009 00:10:00","MILLWD",61759,54.45,2.74,0.00
"12/14/2009 00:10:00","N.Y.C.",61761,54.71,3.00,0.00
"12/14/2009 00:10:00","NORTH",61755,52.28,0.57,0.00
"12/14/2009 00:10:00","NPX",61845,53.98,2.28,0.00
"12/14/2009 00:10:00","O H",61846,47.83,-3.88,0.00
"12/14/2009 00:10:00","PJM",61847,47.98,-3.72,0.00
"12/14/2009 00:10:00","WEST",61752,48.40,-3.31,0.00
"12/14/2009 00:15:00","CAPITL",61757,50.05,1.93,0.00
"12/14/2009 00:15:00","CENTRL",61754,47.55,-0.58,0.00
"12/14/2009 00:15:00","DUNWOD",61760,50.63,2.50,0.00
"12/14/2009 00:15:00","GENESE",61753,46.93,-1.20,0.00
"12/14/2009 00:15:00","H Q",61844,48.03,-0.10,0.00
"12/14/2009 00:15:00","HUD VL",61758,50.49,2.36,0.00
"12/14/2009 00:15:00","LONGIL",61762,51.40,3.27,0.00
"12/14/2009 00:15:00","MHK VL",61756,49.28,1.16,0.00
"12/14/2009 00:15:00","MILLWD",61759,50.58,2.45,0.00
"12/14/2009 00:15:00","N.Y.C.",61761,50.78,2.65,0.00
"12/14/2009 00:15:00","NORTH",61755,48.51,0.39,0.00
"12/14/2009 00:15:00","NPX",61845,50.20,2.07,0.00
"12/14/2009 00:15:00","O H",61846,45.00,-3.13,0.00
"12/14/2009 00:15:00","PJM",61847,45.43,-2.70,0.00
"12/14/2009 00:15:00","WEST",61752,45.63,-2.50,0.00
"12/14/2009 00:20:00","CAPITL",61757,49.47,1.95,0.00
"12/14/2009 00:20:00","CENTRL",61754,46.86,-0.67,0.00
"12/14/2009 00:20:00","DUNWOD",61760,50.09,2.57,0.00
"12/14/2009 00:20:00","GENESE",61753,46.24,-1.28,0.00
"12/14/2009 00:20:00","H Q",61844,47.43,-0.10,0.00
"12/14/2009 00:20:00","HUD VL",61758,49.90,2.38,0.00
"12/14/2009 00:20:00","LONGIL",61762,50.89,3.37,0.00
"12/14/2009 00:20:00","MHK VL",61756,48.66,1.14,0.00
"12/14/2009 00:20:00","MILLWD",61759,49.99,2.47,0.00
"12/14/2009 00:20:00","N.Y.C.",61761,50.23,2.71,0.00
"12/14/2009 00:20:00","NORTH",61755,47.85,0.33,0.00
