"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/31/2015 00:05:00","CAPITL",61757,24.54,1.69,0.00
"12/31/2015 00:05:00","CENTRL",61754,22.92,0.07,0.00
"12/31/2015 00:05:00","DUNWOD",61760,24.93,2.08,0.00
"12/31/2015 00:05:00","GENESE",61753,22.03,-0.82,0.00
"12/31/2015 00:05:00","H Q",61844,22.28,-0.57,0.00
"12/31/2015 00:05:00","HUD VL",61758,24.89,2.03,0.00
"12/31/2015 00:05:00","LONGIL",61762,25.80,2.95,0.00
"12/31/2015 00:05:00","MHK VL",61756,23.45,0.59,0.00
"12/31/2015 00:05:00","MILLWD",61759,24.95,2.10,0.00
"12/31/2015 00:05:00","N.Y.C.",61761,25.00,2.15,0.00
"12/31/2015 00:05:00","NORTH",61755,22.21,-0.64,0.00
"12/31/2015 00:05:00","NPX",61845,8.47,1.94,16.32
"12/31/2015 00:05:00","O H",61846,21.44,-1.42,0.00
"12/31/2015 00:05:00","PJM",61847,23.70,0.85,0.00
"12/31/2015 00:05:00","WEST",61752,21.64,-1.21,0.00
"12/31/2015 00:10:00","CAPITL",61757,65.88,1.14,-48.98
"12/31/2015 00:10:00","CENTRL",61754,21.39,0.06,-5.56
"12/31/2015 00:10:00","DUNWOD",61760,53.93,1.40,-36.76
"12/31/2015 00:10:00","GENESE",61753,19.73,-0.55,-4.51
"12/31/2015 00:10:00","H Q",61844,15.37,-0.39,0.00
"12/31/2015 00:10:00","HUD VL",61758,53.55,1.39,-36.39
"12/31/2015 00:10:00","LONGIL",61762,54.53,1.97,-36.79
"12/31/2015 00:10:00","MHK VL",61756,22.78,0.41,-6.61
"12/31/2015 00:10:00","MILLWD",61759,54.18,1.42,-37.00
"12/31/2015 00:10:00","N.Y.C.",61761,54.02,1.47,-36.78
"12/31/2015 00:10:00","NORTH",61755,15.37,-0.39,0.00
"12/31/2015 00:10:00","NPX",61845,44.47,1.31,-27.40
"12/31/2015 00:10:00","O H",61846,20.94,-0.96,-6.14
"12/31/2015 00:10:00","PJM",61847,41.06,0.60,-24.69
"12/31/2015 00:10:00","WEST",61752,20.68,-0.84,-5.74
"12/31/2015 00:15:00","CAPITL",61757,64.10,0.99,-49.43
"12/31/2015 00:15:00","CENTRL",61754,19.30,0.01,-5.60
"12/31/2015 00:15:00","DUNWOD",61760,51.95,1.15,-37.11
"12/31/2015 00:15:00","GENESE",61753,17.75,-0.49,-4.56
"12/31/2015 00:15:00","H Q",61844,13.39,-0.30,0.00
"12/31/2015 00:15:00","HUD VL",61758,51.57,1.14,-36.75
"12/31/2015 00:15:00","LONGIL",61762,52.43,1.60,-37.14
"12/31/2015 00:15:00","MHK VL",61756,20.86,0.34,-6.83
"12/31/2015 00:15:00","MILLWD",61759,52.20,1.16,-37.35
"12/31/2015 00:15:00","N.Y.C.",61761,52.01,1.19,-37.13
"12/31/2015 00:15:00","NORTH",61755,13.40,-0.29,0.00
"12/31/2015 00:15:00","NPX",61845,42.63,1.12,-27.82
"12/31/2015 00:15:00","O H",61846,19.01,-0.88,-6.20
"12/31/2015 00:15:00","PJM",61847,39.05,0.44,-24.93
"12/31/2015 00:15:00","WEST",61752,18.72,-0.77,-5.79
"12/31/2015 00:20:00","CAPITL",61757,51.97,-0.34,-57.01
"12/31/2015 00:20:00","CENTRL",61754,1.75,-0.01,-6.46
"12/31/2015 00:20:00","DUNWOD",61760,37.72,-0.39,-42.81
"12/31/2015 00:20:00","GENESE",61753,0.72,0.16,-5.25
"12/31/2015 00:20:00","H Q",61844,-4.59,0.11,0.00
"12/31/2015 00:20:00","HUD VL",61758,37.30,-0.39,-42.39
"12/31/2015 00:20:00","LONGIL",61762,37.60,-0.54,-42.84
"12/31/2015 00:20:00","MHK VL",61756,3.07,-0.12,-7.88
"12/31/2015 00:20:00","MILLWD",61759,37.99,-0.39,-43.08
